number,ref,name,shinyLocked,exclusive
001,,Chikorita,FALSE,
002,,Bayleef,FALSE,
003,,Meganium,FALSE,
004,,Cyndaquil,FALSE,
005,,Quilava,FALSE,
006,,Typhlosion,FALSE,
007,,Totodile,FALSE,
008,,Croconaw,FALSE,
009,,Feraligatr,FALSE,
010,,Pidgey,FALSE,
011,,Pidgeotto,FALSE,
012,,Pidgeot,FALSE,
013,,Spearow,FALSE,
014,,Fearow,FALSE,
015,,Hoothoot,FALSE,
016,,Noctowl,FALSE,
017,,Rattata,FALSE,
018,,Raticate,FALSE,
019,,Sentret,FALSE,
020,,Furret,FALSE,
021,,Pichu,FALSE,
022,,Pikachu,FALSE,
023,,Raichu,FALSE,
024,,Caterpie,FALSE,
025,,Metapod,FALSE,
026,,Butterfree,FALSE,
027,,Weedle,FALSE,
028,,Kakuna,FALSE,
029,,Beedrill,FALSE,
030,,Ledyba,FALSE,SILVER
031,,Ledian,FALSE,SILVER
032,,Spinarak,FALSE,GOLD
033,,Ariados,FALSE,GOLD
034,,Geodude,FALSE,
035,,Graveler,FALSE,
036,,Golem,FALSE,
037,,Zubat,FALSE,
038,,Golbat,FALSE,
039,,Crobat,FALSE,
040,,Cleffa,FALSE,
041,,Clefairy,FALSE,
042,,Clefable,FALSE,
043,,Igglybuff,FALSE,
044,,Jigglypuff,FALSE,
045,,Wigglytuff,FALSE,
046,,Togepi,FALSE,
047,,Togetic,FALSE,
048,,Sandshrew,FALSE,
049,,Sandslash,FALSE,
050,,Ekans,FALSE,
051,,Arbok,FALSE,
052,,Dunsparce,FALSE,
053,,Mareep,FALSE,
054,,Flaaffy,FALSE,
055,,Ampharos,FALSE,
056,,Wooper,FALSE,
057,,Quagsire,FALSE,
058,,Gastly,FALSE,
059,,Haunter,FALSE,
060,,Gengar,FALSE,
061,,Unown,FALSE,
062,,Onix,FALSE,
063,,Steelix,FALSE,
064,,Bellsprout,FALSE,
065,,Weepinbell,FALSE,
066,,Victreebel,FALSE,
067,,Hoppip,FALSE,
068,,Skiploom,FALSE,
069,,Jumpluff,FALSE,
070,,Paras,FALSE,
071,,Parasect,FALSE,
072,,Poliwag,FALSE,
073,,Poliwhirl,FALSE,
074,,Poliwrath,FALSE,
075,,Politoed,FALSE,
076,,Magikarp,FALSE,
077,,Gyarados,FALSE,
078,,Goldeen,FALSE,
079,,Seaking,FALSE,
080,,Slowpoke,FALSE,
081,,Slowbro,FALSE,
082,,Slowking,FALSE,
083,,Oddish,FALSE,
084,,Gloom,FALSE,
085,,Vileplume,FALSE,
086,,Bellossom,FALSE,
087,,Drowzee,FALSE,
088,,Hypno,FALSE,
089,,Abra,FALSE,
090,,Kadabra,FALSE,
091,,Alakazam,FALSE,
092,,Ditto,FALSE,
093,,Pineco,FALSE,
094,,Forretress,FALSE,
095,,Nidoran ♀,FALSE,
096,,Nidorina,FALSE,
097,,Nidoqueen,FALSE,
098,,Nidoran ♂,FALSE,
099,,Nidorino,FALSE,
100,,Nidoking,FALSE,
101,,Yanma,FALSE,
102,,Sunkern,FALSE,
103,,Sunflora,FALSE,
104,,Exeggcute,FALSE,
105,,Exeggutor,FALSE,
106,,Sudowoodo,FALSE,
107,,Wobbuffet,FALSE,
108,,Venonat,FALSE,
109,,Venomoth,FALSE,
110,,Scyther,FALSE,
111,,Scizor,FALSE,
112,,Pinsir,FALSE,
113,,Heracross,FALSE,
114,,Koffing,FALSE,
115,,Weezing,FALSE,
116,,Grimer,FALSE,
117,,Muk,FALSE,
118,,Magnemite,FALSE,
119,,Magneton,FALSE,
120,,Voltorb,FALSE,
121,,Electrode,FALSE,
122,,Aipom,FALSE,
123,,Snubbull,FALSE,
124,,Granbull,FALSE,
125,,Vulpix,FALSE,SILVER
126,,Ninetales,FALSE,SILVER
127,,Growlithe,FALSE,GOLD
128,,Arcanine,FALSE,GOLD
129,,Stantler,FALSE,
130,,Marill,FALSE,
131,,Azumarill,FALSE,
132,,Diglett,FALSE,
133,,Dugtrio,FALSE,
134,,Mankey,FALSE,GOLD
