number,ref,name,shinyLocked,notes
1,,Bulbasaur,FALSE,
2,,Ivysaur,FALSE,
3,,Venusaur,FALSE,
4,,Charmander,FALSE,
5,,Charmeleon,FALSE,
6,,Charizard,FALSE,
7,,Squirtle,FALSE,
8,,Wartortle,FALSE,
9,,Blastoise,FALSE,
10,,Caterpie,FALSE,
11,,Metapod,FALSE,
12,,Butterfree,FALSE,
13,,Weedle,FALSE,
14,,Kakuna,FALSE,
15,,Beedrill,FALSE,
16,,Pidgey,FALSE,
17,,Pidgeotto,FALSE,
18,,Pidgeot,FALSE,
19,,Rattata,FALSE,
20,,Raticate,FALSE,
21,,Spearow,FALSE,
22,,Fearow,FALSE,
23,,Ekans,FALSE,TradeOnly
24,,Arbok,FALSE,TradeOnly
25,,Pikachu,FALSE,
26,,Raichu,FALSE,
27,,Sandshrew,FALSE,
28,,Sandslash,FALSE,
29,,Nidoran ♀,FALSE,
30,,Nidorina,FALSE,
31,,Nidoqueen,FALSE,
32,,Nidoran ♂,FALSE,
33,,Nidorino,FALSE,
34,,Nidoking,FALSE,
35,,Clefairy,FALSE,
36,,Clefable,FALSE,
37,,Vulpix,FALSE,
38,,Ninetales,FALSE,
39,,Jigglypuff,FALSE,
40,,Wigglytuff,FALSE,
41,,Zubat,FALSE,
42,,Golbat,FALSE,
43,,Oddish,FALSE,TradeOnly
44,,Gloom,FALSE,TradeOnly
45,,Vileplume,FALSE,TradeOnly
46,,Paras,FALSE,
47,,Parasect,FALSE,
48,,Venonat,FALSE,
49,,Venomoth,FALSE,
50,,Diglett,FALSE,
51,,Dugtrio,FALSE,
52,,Meowth,FALSE,
53,,Persian,FALSE,
54,,Psyduck,FALSE,TradeOnly
55,,Golduck,FALSE,TradeOnly
56,,Mankey,FALSE,
57,,Primeape,FALSE,
58,,Growlithe,FALSE,TradeOnly
59,,Arcanine,FALSE,TradeOnly
60,,Poliwag,FALSE,
61,,Poliwhirl,FALSE,
62,,Poliwrath,FALSE,
63,,Abra,FALSE,
64,,Kadabra,FALSE,
65,,Alakazam,FALSE,
66,,Machop,FALSE,
67,,Machoke,FALSE,
68,,Machamp,FALSE,
69,,Bellsprout,FALSE,
70,,Weepinbell,FALSE,
71,,Victreebel,FALSE,
72,,Tentacool,FALSE,
73,,Tentacruel,FALSE,
74,,Geodude,FALSE,
75,,Graveler,FALSE,
76,,Golem,FALSE,
77,,Ponyta,FALSE,
78,,Rapidash,FALSE,
79,,Slowpoke,FALSE,
80,,Slowbro,FALSE,
81,,Magnemite,FALSE,
82,,Magneton,FALSE,
83,,Farfetch'd,FALSE,
84,,Doduo,FALSE,
85,,Dodrio,FALSE,
86,,Seel,FALSE,
87,,Dewgong,FALSE,
88,,Grimer,FALSE,
89,,Muk,FALSE,
90,,Shellder,FALSE,TradeOnly
91,,Cloyster,FALSE,TradeOnly
92,,Gastly,FALSE,
93,,Haunter,FALSE,
94,,Gengar,FALSE,
95,,Onix,FALSE,
96,,Drowzee,FALSE,
97,,Hypno,FALSE,
98,,Krabby,FALSE,
99,,Kingler,FALSE,
100,,Voltorb,FALSE,
101,,Electrode,FALSE,
102,,Exeggcute,FALSE,
103,,Exeggutor,FALSE,
104,,Cubone,FALSE,
105,,Marowak,FALSE,
106,,Hitmonlee,FALSE,
107,,Hitmonchan,FALSE,
108,,Lickitung,FALSE,
109,,Koffing,FALSE,
110,,Weezing,FALSE,
111,,Rhyhorn,FALSE,
112,,Rhydon,FALSE,
113,,Chansey,FALSE,
114,,Tangela,FALSE,
115,,Kangaskhan,FALSE,
116,,Horsea,FALSE,
117,,Seadra,FALSE,
118,,Goldeen,FALSE,
119,,Seaking,FALSE,
120,,Staryu,FALSE,
121,,Starmie,FALSE,
122,,Mr. Mime,FALSE,
123,,Scyther,FALSE,TradeOnly
124,,Jynx,FALSE,
125,,Electabuzz,FALSE,TradeOnly
126,,Magmar,FALSE,
127,,Pinsir,FALSE,
128,,Tauros,FALSE,
129,,Magikarp,FALSE,
130,,Gyarados,FALSE,
131,,Lapras,FALSE,
132,,Ditto,FALSE,
133,,Eevee,FALSE,
134,,Vaporeon,FALSE,
135,,Jolteon,FALSE,
136,,Flareon,FALSE,
137,,Porygon,FALSE,
138,,Omanyte,FALSE,
139,,Omastar,FALSE,
140,,Kabuto,FALSE,
141,,Kabutops,FALSE,
142,,Aerodactyl,FALSE,
143,,Snorlax,FALSE,
144,,Articuno,FALSE,
145,,Zapdos,FALSE,
146,,Moltres,FALSE,
147,,Dratini,FALSE,
148,,Dragonair,FALSE,
149,,Dragonite,FALSE,
150,,Mewtwo,FALSE,
151,,Mew,FALSE,
