number,ref,name,shinyLocked,notes
1,,Bulbasaur,FALSE,
2,,Ivysaur,FALSE,
3,,Venusaur,FALSE,
4,,Charmander,FALSE,
5,,Charmeleon,FALSE,
6,,Charizard,FALSE,
7,,Squirtle,FALSE,
8,,Wartortle,FALSE,
9,,Blastoise,FALSE,
10,,Caterpie,FALSE,
11,,Metapod,FALSE,
12,,Butterfree,FALSE,
13,,Weedle,FALSE,
14,,Kakuna,FALSE,
15,,Beedrill,FALSE,
16,,Pidgey,FALSE,
17,,Pidgeotto,FALSE,
18,,Pidgeot,FALSE,
19,,Rattata,FALSE,
20,,Raticate,FALSE,
21,,Spearow,FALSE,
22,,Fearow,FALSE,
23,,Ekans,FALSE,
24,,Arbok,FALSE,
25,,Pikachu,FALSE,
26,,Raichu,FALSE,
27,,Sandshrew,FALSE,
28,,Sandslash,FALSE,
29,,Nidoran ♀,FALSE,
30,,Nidorina,FALSE,
31,,Nidoqueen,FALSE,
32,,Nidoran ♂,FALSE,
33,,Nidorino,FALSE,
34,,Nidoking,FALSE,
35,,Clefairy,FALSE,
36,,Clefable,FALSE,
37,,Vulpix,FALSE,
38,,Ninetales,FALSE,
39,,Jigglypuff,FALSE,
40,,Wigglytuff,FALSE,
41,,Zubat,FALSE,
42,,Golbat,FALSE,
43,,Oddish,FALSE,
44,,Gloom,FALSE,
45,,Vileplume,FALSE,
46,,Paras,FALSE,
47,,Parasect,FALSE,
48,,Venonat,FALSE,
49,,Venomoth,FALSE,
50,,Diglett,FALSE,
51,,Dugtrio,FALSE,
52,,Meowth,FALSE,TradeOnly
53,,Persian,FALSE,TradeOnly
54,,Psyduck,FALSE,
55,,Golduck,FALSE,
56,,Mankey,FALSE,
57,,Primeape,FALSE,
58,,Growlithe,FALSE,
59,,Arcanine,FALSE,
60,,Poliwag,FALSE,
61,,Poliwhirl,FALSE,
62,,Poliwrath,FALSE,
63,,Abra,FALSE,
64,,Kadabra,FALSE,
65,,Alakazam,FALSE,
66,,Machop,FALSE,
67,,Machoke,FALSE,
68,,Machamp,FALSE,
69,,Bellsprout,FALSE,
70,,Weepinbell,FALSE,
71,,Victreebel,FALSE,
72,,Tentacool,FALSE,
73,,Tentacruel,FALSE,
74,,Geodude,FALSE,
75,,Graveler,FALSE,
76,,Golem,FALSE,
77,,Ponyta,FALSE,
78,,Rapidash,FALSE,
79,,Slowpoke,FALSE,
80,,Slowbro,FALSE,
81,,Magnemite,FALSE,
82,,Magneton,FALSE,
83,,Farfetch'd,FALSE,
84,,Doduo,FALSE,
85,,Dodrio,FALSE,
86,,Seel,FALSE,
87,,Dewgong,FALSE,
88,,Grimer,FALSE,
89,,Muk,FALSE,
90,,Shellder,FALSE,
91,,Cloyster,FALSE,
92,,Gastly,FALSE,
93,,Haunter,FALSE,
94,,Gengar,FALSE,
95,,Onix,FALSE,
96,,Drowzee,FALSE,
97,,Hypno,FALSE,
98,,Krabby,FALSE,
99,,Kingler,FALSE,
100,,Voltorb,FALSE,
101,,Electrode,FALSE,
102,,Exeggcute,FALSE,
103,,Exeggutor,FALSE,
104,,Cubone,FALSE,
105,,Marowak,FALSE,
106,,Hitmonlee,FALSE,
107,,Hitmonchan,FALSE,
108,,Lickitung,FALSE,
109,,Koffing,FALSE,
110,,Weezing,FALSE,
111,,Rhyhorn,FALSE,
112,,Rhydon,FALSE,
113,,Chansey,FALSE,
114,,Tangela,FALSE,
115,,Kangaskhan,FALSE,
116,,Horsea,FALSE,
117,,Seadra,FALSE,
118,,Goldeen,FALSE,
119,,Seaking,FALSE,
120,,Staryu,FALSE,
121,,Starmie,FALSE,
122,,Mr. Mime,FALSE,
123,,Scyther,FALSE,
124,,Jynx,FALSE,
125,,Electabuzz,FALSE,
126,,Magmar,FALSE,
127,,Pinsir,FALSE,
128,,Tauros,FALSE,
129,,Magikarp,FALSE,
130,,Gyarados,FALSE,
131,,Lapras,FALSE,
132,,Ditto,FALSE,TradeOnly
133,,Eevee,FALSE,
134,,Vaporeon,FALSE,
135,,Jolteon,FALSE,
136,,Flareon,FALSE,
137,,Porygon,FALSE,
138,,Omanyte,FALSE,
139,,Omastar,FALSE,
140,,Kabuto,FALSE,
141,,Kabutops,FALSE,
142,,Aerodactyl,FALSE,
143,,Snorlax,FALSE,
144,,Articuno,FALSE,
145,,Zapdos,FALSE,
146,,Moltres,FALSE,
147,,Dratini,FALSE,
148,,Dragonair,FALSE,
149,,Dragonite,FALSE,
150,,Mewtwo,FALSE,
151,,Mew,FALSE,
152,,Chikorita,FALSE,
153,,Bayleef,FALSE,
154,,Meganium,FALSE,
155,,Cyndaquil,FALSE,
156,,Quilava,FALSE,
157,,Typhlosion,FALSE,
158,,Totodile,FALSE,
159,,Croconaw,FALSE,
160,,Feraligatr,FALSE,
161,,Sentret,FALSE,
162,,Furret,FALSE,
163,,Hoothoot,FALSE,TradeOnly
164,,Noctowl,FALSE,TradeOnly
165,,Ledyba,FALSE,TradeOnly
166,,Ledian,FALSE,TradeOnly
167,,Spinarak,FALSE,TradeOnly
168,,Ariados,FALSE,TradeOnly
169,,Crobat,FALSE,
170,,Chinchou,FALSE,
171,,Lanturn,FALSE,
172,,Pichu,FALSE,
173,,Cleffa,FALSE,
174,,Igglybuff,FALSE,
175,,Togepi,FALSE,
176,,Togetic,FALSE,
177,,Natu,FALSE,
178,,Xatu,FALSE,
179,,Mareep,FALSE,TradeOnly
180,,Flaaffy,FALSE,TradeOnly
181,,Ampharos,FALSE,TradeOnly
182,,Bellossom,FALSE,
183,,Marill,FALSE,
184,,Azumarill,FALSE,
185,,Sudowoodo,FALSE,TradeOnly
186,,Politoed,FALSE,
187,,Hoppip,FALSE,
188,,Skiploom,FALSE,
189,,Jumpluff,FALSE,
190,,Aipom,FALSE,TradeOnly
191,,Sunkern,FALSE,TradeOnly
192,,Sunflora,FALSE,TradeOnly
193,,Yanma,FALSE,
194,,Wooper,FALSE,TradeOnly
195,,Quagsire,FALSE,TradeOnly
196,,Espeon,FALSE,
197,,Umbreon,FALSE,
198,,Murkrow,FALSE,
199,,Slowking,FALSE,
200,,Misdreavus,FALSE,
201,,Unown,FALSE,
202,,Wobbuffet,FALSE,
203,,Girafarig,FALSE,
204,,Pineco,FALSE,TradeOnly
205,,Forretress,FALSE,TradeOnly
206,,Dunsparce,FALSE,
207,,Gligar,FALSE,TradeOnly
208,,Steelix,FALSE,
209,,Snubbull,FALSE,TradeOnly
210,,Granbull,FALSE,TradeOnly
211,,Qwilfish,FALSE,
212,,Scizor,FALSE,
213,,Shuckle,FALSE,TradeOnly
214,,Heracross,FALSE,
215,,Sneasel,FALSE,
216,,Teddiursa,FALSE,TradeOnly
217,,Ursaring,FALSE,TradeOnly
218,,Slugma,FALSE,
219,,Magcargo,FALSE,
220,,Swinub,FALSE,
221,,Piloswine,FALSE,
222,,Corsola,FALSE,
223,,Remoraid,FALSE,TradeOnly
224,,Octillery,FALSE,TradeOnly
225,,Delibird,FALSE,
226,,Mantine,FALSE,
227,,Skarmory,FALSE,
228,,Houndour,FALSE,TradeOnly
229,,Houndoom,FALSE,TradeOnly
230,,Kingdra,FALSE,
231,,Phanpy,FALSE,
232,,Donphan,FALSE,
233,,Porygon2,FALSE,
234,,Stantler,FALSE,TradeOnly
235,,Smeargle,FALSE,TradeOnly
236,,Tyrogue,FALSE,
237,,Hitmontop,FALSE,
238,,Smoochum,FALSE,
239,,Elekid,FALSE,
240,,Magby,FALSE,
241,,Miltank,FALSE,TradeOnly
242,,Blissey,FALSE,
243,,Raikou,FALSE,
244,,Entei,FALSE,
245,,Suicune,FALSE,
246,,Larvitar,FALSE,
247,,Pupitar,FALSE,
248,,Tyranitar,FALSE,
249,,Lugia,FALSE,
250,,Ho-oh,FALSE,
251,,Celebi,TRUE,
252,,Treecko,FALSE,
253,,Grovyle,FALSE,
254,,Sceptile,FALSE,
255,,Torchic,FALSE,
256,,Combusken,FALSE,
257,,Blaziken,FALSE,
258,,Mudkip,FALSE,
259,,Marshtomp,FALSE,
260,,Swampert,FALSE,
261,,Poochyena,FALSE,
262,,Mightyena,FALSE,
263,,Zigzagoon,FALSE,
264,,Linoone,FALSE,
265,,Wurmple,FALSE,
266,,Silcoon,FALSE,
267,,Beautifly,FALSE,
268,,Cascoon,FALSE,
269,,Dustox,FALSE,
270,,Lotad,FALSE,TradeOnly
271,,Lombre,FALSE,TradeOnly
272,,Ludicolo,FALSE,TradeOnly
273,,Seedot,FALSE,
274,,Nuzleaf,FALSE,
275,,Shiftry,FALSE,
276,,Taillow,FALSE,
277,,Swellow,FALSE,
278,,Wingull,FALSE,
279,,Pelipper,FALSE,
280,,Ralts,FALSE,
281,,Kirlia,FALSE,
282,,Gardevoir,FALSE,
283,,Surskit,FALSE,
284,,Masquerain,FALSE,
285,,Shroomish,FALSE,
286,,Breloom,FALSE,
287,,Slakoth,FALSE,
288,,Vigoroth,FALSE,
289,,Slaking,FALSE,
290,,Nincada,FALSE,
291,,Ninjask,FALSE,
292,,Shedinja,FALSE,
293,,Whismur,FALSE,
294,,Loudred,FALSE,
295,,Exploud,FALSE,
296,,Makuhita,FALSE,
297,,Hariyama,FALSE,
298,,Azurill,FALSE,
299,,Nosepass,FALSE,
300,,Skitty,FALSE,
301,,Delcatty,FALSE,
302,,Sableye,FALSE,TradeOnly
303,,Mawile,FALSE,
304,,Aron,FALSE,
305,,Lairon,FALSE,
306,,Aggron,FALSE,
307,,Meditite,FALSE,
308,,Medicham,FALSE,
309,,Electrike,FALSE,
310,,Manectric,FALSE,
311,,Plusle,FALSE,
312,,Minun,FALSE,
313,,Volbeat,FALSE,
314,,Illumise,FALSE,
315,,Roselia,FALSE,
316,,Gulpin,FALSE,
317,,Swalot,FALSE,
318,,Carvanha,FALSE,
319,,Sharpedo,FALSE,
320,,Wailmer,FALSE,
321,,Wailord,FALSE,
322,,Numel,FALSE,
323,,Camerupt,FALSE,
324,,Torkoal,FALSE,
325,,Spoink,FALSE,
326,,Grumpig,FALSE,
327,,Spinda,FALSE,
328,,Trapinch,FALSE,
329,,Vibrava,FALSE,
330,,Flygon,FALSE,
331,,Cacnea,FALSE,
332,,Cacturne,FALSE,
333,,Swablu,FALSE,
334,,Altaria,FALSE,
335,,Zangoose,FALSE,
336,,Seviper,FALSE,TradeOnly
337,,Lunatone,FALSE,TradeOnly
338,,Solrock,FALSE,
339,,Barboach,FALSE,
340,,Whiscash,FALSE,
341,,Corphish,FALSE,
342,,Crawdaunt,FALSE,
343,,Baltoy,FALSE,
344,,Claydol,FALSE,
345,,Lileep,FALSE,
346,,Cradily,FALSE,
347,,Anorith,FALSE,
348,,Armaldo,FALSE,
349,,Feebas,FALSE,
350,,Milotic,FALSE,
351,,Castform,FALSE,
352,,Kecleon,FALSE,
353,,Shuppet,FALSE,
354,,Banette,FALSE,
355,,Duskull,FALSE,
356,,Dusclops,FALSE,
357,,Tropius,FALSE,
358,,Chimecho,FALSE,
359,,Absol,FALSE,
360,,Wynaut,FALSE,
361,,Snorunt,FALSE,
362,,Glalie,FALSE,
363,,Spheal,FALSE,
364,,Sealeo,FALSE,
365,,Walrein,FALSE,
366,,Clamperl,FALSE,
367,,Huntail,FALSE,
368,,Gorebyss,FALSE,
369,,Relicanth,FALSE,
370,,Luvdisc,FALSE,
371,,Bagon,FALSE,
372,,Shelgon,FALSE,
373,,Salamence,FALSE,
374,,Beldum,FALSE,
375,,Metang,FALSE,
376,,Metagross,FALSE,
377,,Regirock,FALSE,
378,,Regice,FALSE,
379,,Registeel,FALSE,
380,,Latias,FALSE,
381,,Latios,FALSE,
382,,Kyogre,FALSE,TradeOnly
383,,Groudon,FALSE,
384,,Rayquaza,FALSE,
385,,Jirachi,FALSE,
386,,Deoxys,FALSE,
