number,ref,name,shinyLocked,notes
001,,Treecko,FALSE,
002,,Grovyle,FALSE,
003,,Sceptile,FALSE,
004,,Torchic,FALSE,
005,,Combusken,FALSE,
006,,Blaziken,FALSE,
007,,Mudkip,FALSE,
008,,Marshtomp,FALSE,
009,,Swampert,FALSE,
010,,Poochyena,FALSE,
011,,Mightyena,FALSE,
012,,Zigzagoon,FALSE,
013,,Linoone,FALSE,
014,,Wurmple,FALSE,
015,,Silcoon,FALSE,
016,,Beautifly,FALSE,
017,,Cascoon,FALSE,
018,,Dustox,FALSE,
019,,Lotad,FALSE,TradeOnly
020,,Lombre,FALSE,TradeOnly
021,,Ludicolo,FALSE,TradeOnly
022,,Seedot,FALSE,
023,,Nuzleaf,FALSE,
024,,Shiftry,FALSE,
025,,Taillow,FALSE,
026,,Swellow,FALSE,
027,,Wingull,FALSE,
028,,Pelipper,FALSE,
029,,Ralts,FALSE,
030,,Kirlia,FALSE,
031,,Gardevoir,FALSE,
032,,Surskit,FALSE,
033,,Masquerain,FALSE,
034,,Shroomish,FALSE,
035,,Breloom,FALSE,
036,,Slakoth,FALSE,
037,,Vigoroth,FALSE,
038,,Slaking,FALSE,
039,,Abra,FALSE,
040,,Kadabra,FALSE,
041,,Alakazam,FALSE,
042,,Nincada,FALSE,
043,,Ninjask,FALSE,
044,,Shedinja,FALSE,
045,,Whismur,FALSE,
046,,Loudred,FALSE,
047,,Exploud,FALSE,
048,,Makuhita,FALSE,
049,,Hariyama,FALSE,
050,,Goldeen,FALSE,
051,,Seaking,FALSE,
052,,Magikarp,FALSE,
053,,Gyarados,FALSE,
054,,Azurill,FALSE,
055,,Marill,FALSE,
056,,Azumarill,FALSE,
057,,Geodude,FALSE,
058,,Graveler,FALSE,
059,,Golem,FALSE,
060,,Nosepass,FALSE,
061,,Skitty,FALSE,
062,,Delcatty,FALSE,
063,,Zubat,FALSE,
064,,Golbat,FALSE,
065,,Crobat,FALSE,
066,,Tentacool,FALSE,
067,,Tentacruel,FALSE,
068,,Sableye,FALSE,TradeOnly
069,,Mawile,FALSE,
070,,Aron,FALSE,
071,,Lairon,FALSE,
072,,Aggron,FALSE,
073,,Machop,FALSE,
074,,Machoke,FALSE,
075,,Machamp,FALSE,
076,,Meditite,FALSE,
077,,Medicham,FALSE,
078,,Electrike,FALSE,
079,,Manectric,FALSE,
080,,Plusle,FALSE,
081,,Minun,FALSE,
082,,Magnemite,FALSE,
083,,Magneton,FALSE,
084,,Voltorb,FALSE,
085,,Electrode,FALSE,
086,,Volbeat,FALSE,
087,,Illumise,FALSE,
088,,Oddish,FALSE,
089,,Gloom,FALSE,
090,,Vileplume,FALSE,
091,,Bellossom,FALSE,
092,,Doduo,FALSE,
093,,Dodrio,FALSE,
094,,Roselia,FALSE,
095,,Gulpin,FALSE,
096,,Swalot,FALSE,
097,,Carvanha,FALSE,
098,,Sharpedo,FALSE,
099,,Wailmer,FALSE,
100,,Wailord,FALSE,
101,,Numel,FALSE,
102,,Camerupt,FALSE,
103,,Slugma,FALSE,
104,,Magcargo,FALSE,
105,,Torkoal,FALSE,
106,,Grimer,FALSE,
107,,Muk,FALSE,
108,,Koffing,FALSE,
109,,Weezing,FALSE,
110,,Spoink,FALSE,
111,,Grumpig,FALSE,
112,,Sandshrew,FALSE,
113,,Sandslash,FALSE,
114,,Spinda,FALSE,
115,,Skarmory,FALSE,
116,,Trapinch,FALSE,
117,,Vibrava,FALSE,
118,,Flygon,FALSE,
119,,Cacnea,FALSE,
120,,Cacturne,FALSE,
121,,Swablu,FALSE,
122,,Altaria,FALSE,
123,,Zangoose,FALSE,
124,,Seviper,FALSE,TradeOnly
125,,Lunatone,FALSE,TradeOnly
126,,Solrock,FALSE,
127,,Barboach,FALSE,
128,,Whiscash,FALSE,
129,,Corphish,FALSE,
130,,Crawdaunt,FALSE,
131,,Baltoy,FALSE,
132,,Claydol,FALSE,
133,,Lileep,FALSE,
134,,Cradily,FALSE,
135,,Anorith,FALSE,
136,,Armaldo,FALSE,
137,,Igglybuff,FALSE,
138,,Jigglypuff,FALSE,
139,,Wigglytuff,FALSE,
140,,Feebas,FALSE,
141,,Milotic,FALSE,
142,,Castform,FALSE,
143,,Staryu,FALSE,
144,,Starmie,FALSE,
145,,Kecleon,FALSE,
146,,Shuppet,FALSE,
147,,Banette,FALSE,
148,,Duskull,FALSE,
149,,Dusclops,FALSE,
150,,Tropius,FALSE,
151,,Chimecho,FALSE,
152,,Absol,FALSE,
153,,Vulpix,FALSE,
154,,Ninetales,FALSE,
155,,Pichu,FALSE,
156,,Pikachu,FALSE,
157,,Raichu,FALSE,
158,,Psyduck,FALSE,
159,,Golduck,FALSE,
160,,Wynaut,FALSE,
161,,Wobbuffet,FALSE,
162,,Natu,FALSE,
163,,Xatu,FALSE,
164,,Girafarig,FALSE,
165,,Phanpy,FALSE,
166,,Donphan,FALSE,
167,,Pinsir,FALSE,
168,,Heracross,FALSE,
169,,Rhyhorn,FALSE,
170,,Rhydon,FALSE,
171,,Snorunt,FALSE,
172,,Glalie,FALSE,
173,,Spheal,FALSE,
174,,Sealeo,FALSE,
175,,Walrein,FALSE,
176,,Clamperl,FALSE,
177,,Huntail,FALSE,
178,,Gorebyss,FALSE,
179,,Relicanth,FALSE,
180,,Corsola,FALSE,
181,,Chinchou,FALSE,
182,,Lanturn,FALSE,
183,,Luvdisc,FALSE,
184,,Horsea,FALSE,
185,,Seadra,FALSE,
186,,Kingdra,FALSE,
187,,Bagon,FALSE,
188,,Shelgon,FALSE,
189,,Salamence,FALSE,
190,,Beldum,FALSE,
191,,Metang,FALSE,
192,,Metagross,FALSE,
193,,Regirock,FALSE,
194,,Regice,FALSE,
195,,Registeel,FALSE,
196,,Latias,FALSE,
197,,Latios,FALSE,
198,,Kyogre,FALSE,TradeOnly
199,,Groudon,FALSE,
200,,Rayquaza,FALSE,
201,,Jirachi,FALSE,
202,,Deoxys,FALSE,
