number,ref,name,shinyLocked,notes
001,,Turtwig,FALSE,
002,,Grotle,FALSE,
003,,Torterra,FALSE,
004,,Chimchar,FALSE,
005,,Monferno,FALSE,
006,,Infernape,FALSE,
007,,Piplup,FALSE,
008,,Prinplup,FALSE,
009,,Empoleon,FALSE,
010,,Starly,FALSE,
011,,Staravia,FALSE,
012,,Staraptor,FALSE,
013,,Bidoof,FALSE,
014,,Bibarel,FALSE,
015,,Kricketot,FALSE,
016,,Kricketune,FALSE,
017,,Shinx,FALSE,
018,,Luxio,FALSE,
019,,Luxray,FALSE,
020,,Abra,FALSE,
021,,Kadabra,FALSE,
022,,Alakazam,FALSE,
023,,Magikarp,FALSE,
024,,Gyarados,FALSE,
025,,Budew,FALSE,
026,,Roselia,FALSE,
027,,Roserade,FALSE,
028,,Zubat,FALSE,
029,,Golbat,FALSE,
030,,Crobat,FALSE,
031,,Geodude,FALSE,
032,,Graveler,FALSE,
033,,Golem,FALSE,
034,,Onix,FALSE,
035,,Steelix,FALSE,
036,,Cranidos,FALSE,
037,,Rampardos,FALSE,
038,,Shieldon,FALSE,TradeOnly
039,,Bastiodon,FALSE,TradeOnly
040,,Machop,FALSE,
041,,Machoke,FALSE,
042,,Machamp,FALSE,
043,,Psyduck,FALSE,
044,,Golduck,FALSE,
045,,Burmy,FALSE,
046,,Wormadam,FALSE,
047,,Mothim,FALSE,
048,,Wurmple,FALSE,
049,,Silcoon,FALSE,
050,,Beautifly,FALSE,
051,,Cascoon,FALSE,
052,,Dustox,FALSE,
053,,Combee,FALSE,
054,,Vespiquen,FALSE,
055,,Pachirisu,FALSE,
056,,Buizel,FALSE,
057,,Floatzel,FALSE,
058,,Cherubi,FALSE,
059,,Cherrim,FALSE,
060,,Shellos,FALSE,
061,,Gastrodon,FALSE,
062,,Heracross,FALSE,
063,,Aipom,FALSE,
064,,Ambipom,FALSE,
065,,Drifloon,FALSE,
066,,Drifblim,FALSE,
067,,Buneary,FALSE,
068,,Lopunny,FALSE,
069,,Gastly,FALSE,
070,,Haunter,FALSE,
071,,Gengar,FALSE,
072,,Misdreavus,FALSE,TradeOnly
073,,Mismagius,FALSE,TradeOnly
074,,Murkrow,FALSE,
075,,Honchkrow,FALSE,
076,,Glameow,FALSE,TradeOnly
077,,Purugly,FALSE,TradeOnly
078,,Goldeen,FALSE,
079,,Seaking,FALSE,
080,,Barboach,FALSE,
081,,Whiscash,FALSE,
082,,Chingling,FALSE,
083,,Chimecho,FALSE,
084,,Stunky,FALSE,
085,,Skuntank,FALSE,
086,,Meditite,FALSE,
087,,Medicham,FALSE,
088,,Bronzor,FALSE,
089,,Bronzong,FALSE,
090,,Ponyta,FALSE,
091,,Rapidash,FALSE,
092,,Bonsly,FALSE,
093,,Sudowoodo,FALSE,
094,,Mime Jr.,FALSE,
095,,Mr. Mime,FALSE,
096,,Happiny,FALSE,
097,,Chansey,FALSE,
098,,Blissey,FALSE,
099,,Cleffa,FALSE,
100,,Clefairy,FALSE,
101,,Clefable,FALSE,
102,,Chatot,FALSE,
103,,Pichu,FALSE,
104,,Pikachu,FALSE,
105,,Raichu,FALSE,
106,,Hoothoot,FALSE,
107,,Noctowl,FALSE,
108,,Spiritomb,FALSE,
109,,Gible,FALSE,
110,,Gabite,FALSE,
111,,Garchomp,FALSE,
112,,Munchlax,FALSE,
113,,Snorlax,FALSE,
114,,Unown,FALSE,
115,,Riolu,FALSE,
116,,Lucario,FALSE,
117,,Wooper,FALSE,
118,,Quagsire,FALSE,
119,,Wingull,FALSE,
120,,Pelipper,FALSE,
121,,Girafarig,FALSE,
122,,Hippopotas,FALSE,
123,,Hippowdon,FALSE,
124,,Azurill,FALSE,
125,,Marill,FALSE,
126,,Azumarill,FALSE,
127,,Skorupi,FALSE,
128,,Drapion,FALSE,
129,,Croagunk,FALSE,
130,,Toxicroak,FALSE,
131,,Carnivine,FALSE,
132,,Remoraid,FALSE,
133,,Octillery,FALSE,
134,,Finneon,FALSE,
135,,Lumineon,FALSE,
136,,Tentacool,FALSE,
137,,Tentacruel,FALSE,
138,,Feebas,FALSE,
139,,Milotic,FALSE,
140,,Mantyke,FALSE,
141,,Mantine,FALSE,
142,,Snover,FALSE,
143,,Abomasnow,FALSE,
144,,Sneasel,FALSE,
145,,Weavile,FALSE,
146,,Uxie,FALSE,
147,,Mesprit,FALSE,
148,,Azelf,FALSE,
149,,Dialga,FALSE,
150,,Palkia,FALSE,TradeOnly
151,,Manaphy,FALSE,
