number,ref,name,shinyLocked,notes
000,,Victini,TRUE,
001,,Snivy,FALSE,
002,,Servine,FALSE,
003,,Serperior,FALSE,
004,,Tepig,FALSE,
005,,Pignite,FALSE,
006,,Emboar,FALSE,
007,,Oshawott,FALSE,
008,,Dewott,FALSE,
009,,Samurott,FALSE,
010,,Patrat,FALSE,
011,,Watchog,FALSE,
012,,Lillipup,FALSE,
013,,Herdier,FALSE,
014,,Stoutland,FALSE,
015,,Purrloin,FALSE,
016,,Liepard,FALSE,
017,,Pansage,FALSE,
018,,Simisage,FALSE,
019,,Pansear,FALSE,
020,,Simisear,FALSE,
021,,Panpour,FALSE,
022,,Simipour,FALSE,
023,,Munna,FALSE,
024,,Musharna,FALSE,
025,,Pidove,FALSE,
026,,Tranquill,FALSE,
027,,Unfezant,FALSE,
028,,Blitzle,FALSE,
029,,Zebstrika,FALSE,
030,,Roggenrola,FALSE,
031,,Boldore,FALSE,
032,,Gigalith,FALSE,
033,,Woobat,FALSE,
034,,Swoobat,FALSE,
035,,Drilbur,FALSE,
036,,Excadrill,FALSE,
037,,Audino,FALSE,
038,,Timburr,FALSE,
039,,Gurdurr,FALSE,
040,,Conkeldurr,FALSE,
041,,Tympole,FALSE,
042,,Palpitoad,FALSE,
043,,Seismitoad,FALSE,
044,,Throh,FALSE,
045,,Sawk,FALSE,
046,,Sewaddle,FALSE,
047,,Swadloon,FALSE,
048,,Leavanny,FALSE,
049,,Venipede,FALSE,
050,,Whirlipede,FALSE,
051,,Scolipede,FALSE,
052,,Cottonee,FALSE,
053,,Whimsicott,FALSE,
054,,Petilil,FALSE,TradeOnly
055,,Lilligant,FALSE,TradeOnly
056,,Basculin,FALSE,
057,,Sandile,FALSE,
058,,Krokorok,FALSE,
059,,Krookodile,FALSE,
060,,Darumaka,FALSE,
061,,Darmanitan,FALSE,
062,,Maractus,FALSE,
063,,Dwebble,FALSE,
064,,Crustle,FALSE,
065,,Scraggy,FALSE,
066,,Scrafty,FALSE,
067,,Sigilyph,FALSE,
068,,Yamask,FALSE,
069,,Cofagrigus,FALSE,
070,,Tirtouga,FALSE,
071,,Carracosta,FALSE,
072,,Archen,FALSE,
073,,Archeops,FALSE,
074,,Trubbish,FALSE,
075,,Garbodor,FALSE,
076,,Zorua,FALSE,
077,,Zoroark,FALSE,
078,,Minccino,FALSE,
079,,Cinccino,FALSE,
080,,Gothita,FALSE,
081,,Gothorita,FALSE,
082,,Gothitelle,FALSE,
083,,Solosis,FALSE,TradeOnly
084,,Duosion,FALSE,TradeOnly
085,,Reuniclus,FALSE,TradeOnly
086,,Ducklett,FALSE,
087,,Swanna,FALSE,
088,,Vanillite,FALSE,
089,,Vanillish,FALSE,
090,,Vanilluxe,FALSE,
091,,Deerling,FALSE,
092,,Sawsbuck,FALSE,
093,,Emolga,FALSE,
094,,Karrablast,FALSE,
095,,Escavalier,FALSE,
096,,Foongus,FALSE,
097,,Amoonguss,FALSE,
098,,Frillish,FALSE,
099,,Jellicent,FALSE,
100,,Alomomola,FALSE,
101,,Joltik,FALSE,
102,,Galvantula,FALSE,
103,,Ferroseed,FALSE,
104,,Ferrothorn,FALSE,
105,,Klink,FALSE,
106,,Klang,FALSE,
107,,Klinklang,FALSE,
108,,Tynamo,FALSE,
109,,Eelektrik,FALSE,
110,,Eelektross,FALSE,
111,,Elgyem,FALSE,
112,,Beheeyem,FALSE,
113,,Litwick,FALSE,
114,,Lampent,FALSE,
115,,Chandelure,FALSE,
116,,Axew,FALSE,
117,,Fraxure,FALSE,
118,,Haxorus,FALSE,
119,,Cubchoo,FALSE,
120,,Beartic,FALSE,
121,,Cryogonal,FALSE,
122,,Shelmet,FALSE,
123,,Accelgor,FALSE,
124,,Stunfisk,FALSE,
125,,Mienfoo,FALSE,
126,,Mienshao,FALSE,
127,,Druddigon,FALSE,
128,,Golett,FALSE,
129,,Golurk,FALSE,
130,,Pawniard,FALSE,
131,,Bisharp,FALSE,
132,,Bouffalant,FALSE,
133,,Rufflet,FALSE,TradeOnly
134,,Braviary,FALSE,TradeOnly
135,,Vullaby,FALSE,
136,,Mandibuzz,FALSE,
137,,Heatmor,FALSE,
138,,Durant,FALSE,
139,,Deino,FALSE,
140,,Zweilous,FALSE,
141,,Hydreigon,FALSE,
142,,Larvesta,FALSE,
143,,Volcarona,FALSE,
144,,Cobalion,FALSE,
145,,Terrakion,FALSE,
146,,Virizion,FALSE,
147,,Tornadus,FALSE,
148,,Thundurus,FALSE,TradeOnly
149,,Reshiram,TRUE,
150,,Zekrom,TRUE,TradeOnly
151,,Landorus,FALSE,
152,,Kyurem,FALSE,
153,,Keldeo,TRUE,
154,,Meloetta,TRUE,
155,,Genesect,FALSE,
