number,ref,name,shinyLocked,notes
000,,Victini,TRUE,
001,,Snivy,FALSE,
002,,Servine,FALSE,
003,,Serperior,FALSE,
004,,Tepig,FALSE,
005,,Pignite,FALSE,
006,,Emboar,FALSE,
007,,Oshawott,FALSE,
008,,Dewott,FALSE,
009,,Samurott,FALSE,
010,,Patrat,FALSE,
011,,Watchog,FALSE,
012,,Purrloin,FALSE,
013,,Liepard,FALSE,
014,,Pidove,FALSE,
015,,Tranquill,FALSE,
016,,Unfezant,FALSE,
017,,Sewaddle,FALSE,
018,,Swadloon,FALSE,
019,,Leavanny,FALSE,
020,,Sunkern,FALSE,
021,,Sunflora,FALSE,
022,,Lillipup,FALSE,
023,,Herdier,FALSE,
024,,Stoutland,FALSE,
025,,Mareep,FALSE,
026,,Flaaffy,FALSE,
027,,Ampharos,FALSE,
028,,Psyduck,FALSE,
029,,Golduck,FALSE,
030,,Azurill,FALSE,
031,,Marill,FALSE,
032,,Azumarill,FALSE,
033,,Riolu,FALSE,
034,,Lucario,FALSE,
035,,Dunsparce,FALSE,
036,,Audino,FALSE,
037,,Pansage,FALSE,
038,,Simisage,FALSE,
039,,Pansear,FALSE,
040,,Simisear,FALSE,
041,,Panpour,FALSE,
042,,Simipour,FALSE,
043,,Venipede,FALSE,
044,,Whirlipede,FALSE,
045,,Scolipede,FALSE,
046,,Koffing,FALSE,
047,,Weezing,FALSE,
048,,Magnemite,FALSE,
049,,Magneton,FALSE,
050,,Magnezone,FALSE,
051,,Growlithe,FALSE,
052,,Arcanine,FALSE,
053,,Magby,FALSE,
054,,Magmar,FALSE,
055,,Magmortar,FALSE,
056,,Elekid,FALSE,TradeOnly
057,,Electabuzz,FALSE,TradeOnly
058,,Electivire,FALSE,TradeOnly
059,,Rattata,FALSE,
060,,Raticate,FALSE,
061,,Zubat,FALSE,
062,,Golbat,FALSE,
063,,Crobat,FALSE,
064,,Grimer,FALSE,
065,,Muk,FALSE,
066,,Woobat,FALSE,
067,,Swoobat,FALSE,
068,,Roggenrola,FALSE,
069,,Boldore,FALSE,
070,,Gigalith,FALSE,
071,,Onix,FALSE,
072,,Steelix,FALSE,
073,,Timburr,FALSE,
074,,Gurdurr,FALSE,
075,,Conkeldurr,FALSE,
076,,Drilbur,FALSE,
077,,Excadrill,FALSE,
078,,Skitty,FALSE,TradeOnly
079,,Delcatty,FALSE,TradeOnly
080,,Buneary,FALSE,
081,,Lopunny,FALSE,
082,,Cottonee,FALSE,
083,,Whimsicott,FALSE,
084,,Petilil,FALSE,TradeOnly
085,,Lilligant,FALSE,TradeOnly
086,,Munna,FALSE,
087,,Musharna,FALSE,
088,,Cleffa,FALSE,
089,,Clefairy,FALSE,
090,,Clefable,FALSE,
091,,Eevee,FALSE,
092,,Vaporeon,FALSE,
093,,Jolteon,FALSE,
094,,Flareon,FALSE,
095,,Espeon,FALSE,
096,,Umbreon,FALSE,
097,,Leafeon,FALSE,
098,,Glaceon,FALSE,
099,,Sandile,FALSE,
100,,Krokorok,FALSE,
101,,Krookodile,FALSE,
102,,Darumaka,FALSE,
103,,Darmanitan,FALSE,
104,,Basculin,FALSE,
105,,Trubbish,FALSE,
106,,Garbodor,FALSE,
107,,Minccino,FALSE,
108,,Cinccino,FALSE,
109,,Rufflet,FALSE,TradeOnly
110,,Braviary,FALSE,TradeOnly
111,,Vullaby,FALSE,
112,,Mandibuzz,FALSE,
113,,Sandshrew,FALSE,
114,,Sandslash,FALSE,
115,,Dwebble,FALSE,
116,,Crustle,FALSE,
117,,Scraggy,FALSE,
118,,Scrafty,FALSE,
119,,Maractus,FALSE,
120,,Sigilyph,FALSE,
121,,Trapinch,FALSE,
