number,name,shinyLocked,notes
015,Mega Beedrill,FALSE,
018,Mega Pidgeot,FALSE,
080,Mega Slowbro,FALSE,
208,Mega Steelix,FALSE,
254,Mega Sceptile,FALSE,
260,Mega Swampert,FALSE,
302,Mega Sableye,FALSE,
319,Mega Sharpedo,FALSE,
323,Mega Camerupt,FALSE,
334,Mega Altaria,FALSE,
362,Mega Glalie,FALSE,
373,Mega Salamence,FALSE,
376,Mega Metagross,FALSE,
380,Mega Latias,FALSE,
381,Mega Latios,FALSE,
382,Primal Kyogre,FALSE,
383,Primal Groudon,FALSE,Omega Ruby Exclusive
384,Mega Rayquaza,FALSE,
428,Mega Lopunny,FALSE,
475,Mega Gallade,FALSE,
531,Mega Audino,FALSE,
719,Mega Diancie,FALSE,
