number,ref,name,shinyLocked,notes
001,,Treecko,FALSE,
002,,Grovyle,FALSE,
003,,Sceptile,FALSE,
004,,Torchic,FALSE,
005,,Combusken,FALSE,
006,,Blaziken,FALSE,
007,,Mudkip,FALSE,
008,,Marshtomp,FALSE,
009,,Swampert,FALSE,
010,,Poochyena,FALSE,
011,,Mightyena,FALSE,
012,,Zigzagoon,FALSE,
013,,Linoone,FALSE,
014,,Wurmple,FALSE,
015,,Silcoon,FALSE,
016,,Beautifly,FALSE,
017,,Cascoon,FALSE,
018,,Dustox,FALSE,
019,,Lotad,FALSE,TradeOnly
020,,Lombre,FALSE,TradeOnly
021,,Ludicolo,FALSE,TradeOnly
022,,Seedot,FALSE,
023,,Nuzleaf,FALSE,
024,,Shiftry,FALSE,
025,,Taillow,FALSE,
026,,Swellow,FALSE,
027,,Wingull,FALSE,
028,,Pelipper,FALSE,
029,,Ralts,FALSE,
030,,Kirlia,FALSE,
031,,Gardevoir,FALSE,
032,,Gallade,FALSE,
033,,Surskit,FALSE,
034,,Masquerain,FALSE,
035,,Shroomish,FALSE,
036,,Breloom,FALSE,
037,,Slakoth,FALSE,
038,,Vigoroth,FALSE,
039,,Slaking,FALSE,
040,,Abra,FALSE,
041,,Kadabra,FALSE,
042,,Alakazam,FALSE,
043,,Nincada,FALSE,
044,,Ninjask,FALSE,
045,,Shedinja,FALSE,
046,,Whismur,FALSE,
047,,Loudred,FALSE,
048,,Exploud,FALSE,
049,,Makuhita,FALSE,
050,,Hariyama,FALSE,
051,,Goldeen,FALSE,
052,,Seaking,FALSE,
053,,Magikarp,FALSE,
054,,Gyarados,FALSE,
055,,Azurill,FALSE,
056,,Marill,FALSE,
057,,Azumarill,FALSE,
058,,Geodude,FALSE,
059,,Graveler,FALSE,
060,,Golem,FALSE,
061,,Nosepass,FALSE,
062,,Probopass,FALSE,
063,,Skitty,FALSE,
064,,Delcatty,FALSE,
065,,Zubat,FALSE,
066,,Golbat,FALSE,
067,,Crobat,FALSE,
068,,Tentacool,FALSE,
069,,Tentacruel,FALSE,
070,,Sableye,FALSE,TradeOnly
071,,Mawile,FALSE,
072,,Aron,FALSE,
073,,Lairon,FALSE,
074,,Aggron,FALSE,
075,,Machop,FALSE,
076,,Machoke,FALSE,
077,,Machamp,FALSE,
078,,Meditite,FALSE,
079,,Medicham,FALSE,
080,,Electrike,FALSE,
081,,Manectric,FALSE,
082,,Plusle,FALSE,
083,,Minun,FALSE,
084,,Magnemite,FALSE,
085,,Magneton,FALSE,
086,,Magnezone,FALSE,
087,,Voltorb,FALSE,
088,,Electrode,FALSE,
089,,Volbeat,FALSE,
090,,Illumise,FALSE,
091,,Oddish,FALSE,
092,,Gloom,FALSE,
093,,Vileplume,FALSE,
094,,Bellossom,FALSE,
095,,Doduo,FALSE,
096,,Dodrio,FALSE,
097,,Budew,FALSE,
098,,Roselia,FALSE,
099,,Roserade,FALSE,
100,,Gulpin,FALSE,
101,,Swalot,FALSE,
102,,Carvanha,FALSE,
103,,Sharpedo,FALSE,
104,,Wailmer,FALSE,
105,,Wailord,FALSE,
106,,Numel,FALSE,
107,,Camerupt,FALSE,
108,,Slugma,FALSE,
109,,Magcargo,FALSE,
110,,Torkoal,FALSE,
111,,Grimer,FALSE,
112,,Muk,FALSE,
113,,Koffing,FALSE,
114,,Weezing,FALSE,
115,,Spoink,FALSE,
116,,Grumpig,FALSE,
117,,Sandshrew,FALSE,
118,,Sandslash,FALSE,
119,,Spinda,FALSE,
120,,Skarmory,FALSE,
121,,Trapinch,FALSE,
122,,Vibrava,FALSE,
123,,Flygon,FALSE,
124,,Cacnea,FALSE,
125,,Cacturne,FALSE,
126,,Swablu,FALSE,
127,,Altaria,FALSE,
128,,Zangoose,FALSE,
129,,Seviper,FALSE,TradeOnly
130,,Lunatone,FALSE,TradeOnly
131,,Solrock,FALSE,
132,,Barboach,FALSE,
133,,Whiscash,FALSE,
134,,Corphish,FALSE,
135,,Crawdaunt,FALSE,
136,,Baltoy,FALSE,
137,,Claydol,FALSE,
138,,Lileep,FALSE,
139,,Cradily,FALSE,
140,,Anorith,FALSE,
141,,Armaldo,FALSE,
142,,Igglybuff,FALSE,
143,,Jigglypuff,FALSE,
144,,Wigglytuff,FALSE,
145,,Feebas,FALSE,
146,,Milotic,FALSE,
147,,Castform,FALSE,
148,,Staryu,FALSE,
149,,Starmie,FALSE,
150,,Kecleon,FALSE,
151,,Shuppet,FALSE,
152,,Banette,FALSE,
153,,Duskull,FALSE,
154,,Dusclops,FALSE,
155,,Dusknoir,FALSE,
156,,Tropius,FALSE,
157,,Chingling,FALSE,
158,,Chimecho,FALSE,
159,,Absol,FALSE,
160,,Vulpix,FALSE,
161,,Ninetales,FALSE,
162,,Pichu,FALSE,
163,,Pikachu,FALSE,
164,,Raichu,FALSE,
165,,Psyduck,FALSE,
166,,Golduck,FALSE,
167,,Wynaut,FALSE,
168,,Wobbuffet,FALSE,
169,,Natu,FALSE,
170,,Xatu,FALSE,
171,,Girafarig,FALSE,
172,,Phanpy,FALSE,
173,,Donphan,FALSE,
174,,Pinsir,FALSE,
175,,Heracross,FALSE,
176,,Rhyhorn,FALSE,
177,,Rhydon,FALSE,
178,,Rhyperior,FALSE,
179,,Snorunt,FALSE,
180,,Glalie,FALSE,
181,,Froslass,FALSE,
182,,Spheal,FALSE,
183,,Sealeo,FALSE,
184,,Walrein,FALSE,
185,,Clamperl,FALSE,
186,,Huntail,FALSE,
187,,Gorebyss,FALSE,
188,,Relicanth,FALSE,
189,,Corsola,FALSE,
190,,Chinchou,FALSE,
191,,Lanturn,FALSE,
192,,Luvdisc,FALSE,
193,,Horsea,FALSE,
194,,Seadra,FALSE,
195,,Kingdra,FALSE,
196,,Bagon,FALSE,
197,,Shelgon,FALSE,
198,,Salamence,FALSE,
199,,Beldum,FALSE,
200,,Metang,FALSE,
201,,Metagross,FALSE,
202,,Regirock,FALSE,
203,,Regice,FALSE,
204,,Registeel,FALSE,
205,,Latias,FALSE,
206,,Latios,FALSE,
207,,Kyogre,TRUE,TradeOnly
208,,Groudon,TRUE,
209,,Rayquaza,TRUE,
210,,Jirachi,FALSE,
211,,Deoxys,TRUE,
