number,ref,name,shinyLocked,notes
001,,Drifloon,FALSE,
002,,Drifblim,FALSE,
003,,Mienfoo,FALSE,
004,,Mienshao,FALSE,
005,,Zangoose,FALSE,
006,,Seviper,FALSE,
007,,Spoink,FALSE,
008,,Grumpig,FALSE,
009,,Absol,FALSE,
010,,Inkay,FALSE,
011,,Malamar,FALSE,
012,,Lunatone,FALSE,
013,,Solrock,FALSE,
014,,Bagon,FALSE,
015,,Shelgon,FALSE,
016,,Salamence,FALSE,
017,,Wingull,FALSE,
018,,Pelipper,FALSE,
019,,Taillow,FALSE,
020,,Swellow,FALSE,
021,,Binacle,FALSE,
022,,Barbaracle,FALSE,
023,,Dwebble,FALSE,
024,,Crustle,FALSE,
025,,Tentacool,FALSE,
026,,Tentacruel,FALSE,
027,,Wailmer,FALSE,
028,,Wailord,FALSE,
029,,Luvdisc,FALSE,
030,,Skrelp,FALSE,TradeOnly
031,,Dragalge,FALSE,TradeOnly
032,,Clauncher,FALSE,
033,,Clawitzer,FALSE,
034,,Staryu,FALSE,
035,,Starmie,FALSE,
036,,Shellder,FALSE,TradeOnly
037,,Cloyster,FALSE,TradeOnly
038,,Qwilfish,FALSE,
039,,Horsea,FALSE,
040,,Seadra,FALSE,
041,,Kingdra,FALSE,
042,,Relicanth,FALSE,
043,,Sandile,FALSE,
044,,Krokorok,FALSE,
045,,Krookodile,FALSE,
046,,Helioptile,FALSE,
047,,Heliolisk,FALSE,
048,,Hippopotas,FALSE,
049,,Hippowdon,FALSE,
050,,Rhyhorn,FALSE,
051,,Rhydon,FALSE,
052,,Rhyperior,FALSE,
053,,Onix,FALSE,
054,,Steelix,FALSE,
055,,Woobat,FALSE,
056,,Swoobat,FALSE,
057,,Machop,FALSE,
058,,Machoke,FALSE,
059,,Machamp,FALSE,
060,,Cubone,FALSE,
061,,Marowak,FALSE,
062,,Kangaskhan,FALSE,
063,,Mawile,FALSE,
064,,Tyrunt,FALSE,
065,,Tyrantrum,FALSE,
066,,Amaura,FALSE,
067,,Aurorus,FALSE,
068,,Aerodactyl,FALSE,
069,,Ferroseed,FALSE,
070,,Ferrothorn,FALSE,
071,,Snubbull,FALSE,
072,,Granbull,FALSE,
073,,Electrike,FALSE,TradeOnly
074,,Manectric,FALSE,TradeOnly
075,,Houndour,FALSE,
076,,Houndoom,FALSE,
077,,Eevee,FALSE,
078,,Vaporeon,FALSE,
079,,Jolteon,FALSE,
080,,Flareon,FALSE,
081,,Espeon,FALSE,
082,,Umbreon,FALSE,
083,,Leafeon,FALSE,
084,,Glaceon,FALSE,
085,,Sylveon,FALSE,
086,,Emolga,FALSE,
087,,Yanma,FALSE,
088,,Yanmega,FALSE,
089,,Hawlucha,FALSE,
090,,Sigilyph,FALSE,
091,,Golett,FALSE,
092,,Golurk,FALSE,
093,,Nosepass,FALSE,
094,,Probopass,FALSE,
095,,Makuhita,FALSE,
096,,Hariyama,FALSE,
097,,Throh,FALSE,TradeOnly
098,,Sawk,FALSE,
099,,Starly,FALSE,
100,,Staravia,FALSE,
101,,Staraptor,FALSE,
102,,Stunky,FALSE,
103,,Skuntank,FALSE,
104,,Nidoran ♀,FALSE,
105,,Nidorina,FALSE,
106,,Nidoqueen,FALSE,
107,,Nidoran ♂,FALSE,
108,,Nidorino,FALSE,
109,,Nidoking,FALSE,
110,,Dedenne,FALSE,
111,,Chingling,FALSE,
112,,Chimecho,FALSE,
113,,Mime Jr.,FALSE,
114,,Mr. Mime,FALSE,
115,,Solosis,FALSE,
116,,Duosion,FALSE,
117,,Reuniclus,FALSE,
118,,Wynaut,FALSE,
119,,Wobbuffet,FALSE,
120,,Roggenrola,FALSE,
121,,Boldore,FALSE,
122,,Gigalith,FALSE,
123,,Sableye,FALSE,
124,,Carbink,FALSE,
125,,Tauros,FALSE,
126,,Miltank,FALSE,
127,,Mareep,FALSE,
128,,Flaaffy,FALSE,
129,,Ampharos,FALSE,
130,,Pinsir,FALSE,
131,,Heracross,FALSE,TradeOnly
132,,Pachirisu,FALSE,
133,,Slowpoke,FALSE,
134,,Slowbro,FALSE,
135,,Slowking,FALSE,
136,,Exeggcute,FALSE,
137,,Exeggutor,FALSE,
138,,Chatot,FALSE,
139,,Mantyke,FALSE,
140,,Mantine,FALSE,
141,,Clamperl,FALSE,
142,,Huntail,FALSE,
143,,Gorebyss,FALSE,
144,,Remoraid,FALSE,
145,,Octillery,FALSE,
146,,Corsola,FALSE,
147,,Chinchou,FALSE,
148,,Lanturn,FALSE,
149,,Alomomola,FALSE,
150,,Lapras,FALSE,
151,,Articuno,TRUE,
152,,Zapdos,TRUE,
153,,Moltres,TRUE,
