number,ref,name,shinyLocked,notes
001,,Diglett,FALSE,
002,,Dugtrio,FALSE,
003,,Trapinch,FALSE,
004,,Vibrava,FALSE,
005,,Flygon,FALSE,
006,,Gible,FALSE,
007,,Gabite,FALSE,
008,,Garchomp,FALSE,
009,,Geodude,FALSE,
010,,Graveler,FALSE,
011,,Golem,FALSE,
012,,Slugma,FALSE,
013,,Magcargo,FALSE,
014,,Shuckle,FALSE,
015,,Skorupi,FALSE,
016,,Drapion,FALSE,
017,,Wooper,FALSE,
018,,Quagsire,FALSE,
019,,Goomy,FALSE,
020,,Sliggoo,FALSE,
021,,Goodra,FALSE,
022,,Karrablast,FALSE,
023,,Escavalier,FALSE,
024,,Shelmet,FALSE,
025,,Accelgor,FALSE,
026,,Bellsprout,FALSE,
027,,Weepinbell,FALSE,
028,,Victreebel,FALSE,
029,,Carnivine,FALSE,
030,,Gastly,FALSE,
031,,Haunter,FALSE,
032,,Gengar,FALSE,
033,,Poliwag,FALSE,
034,,Poliwhirl,FALSE,
035,,Poliwrath,FALSE,
036,,Politoed,FALSE,
037,,Ekans,FALSE,
038,,Arbok,FALSE,
039,,Stunfisk,FALSE,
040,,Barboach,FALSE,
041,,Whiscash,FALSE,
042,,Purrloin,FALSE,TradeOnly
043,,Liepard,FALSE,TradeOnly
044,,Poochyena,FALSE,
045,,Mightyena,FALSE,
046,,Patrat,FALSE,
047,,Watchog,FALSE,
048,,Pawniard,FALSE,
049,,Bisharp,FALSE,
050,,Klefki,FALSE,
051,,Murkrow,FALSE,
052,,Honchkrow,FALSE,
053,,Foongus,FALSE,
054,,Amoonguss,FALSE,
055,,Lotad,FALSE,
056,,Lombre,FALSE,
057,,Ludicolo,FALSE,
058,,Buizel,FALSE,
059,,Floatzel,FALSE,
060,,Basculin,FALSE,
061,,Phantump,FALSE,
062,,Trevenant,FALSE,
063,,Pumpkaboo,FALSE,
064,,Gourgeist,FALSE,
065,,Litwick,FALSE,
066,,Lampent,FALSE,
067,,Chandelure,FALSE,
068,,Rotom,FALSE,
069,,Magnemite,FALSE,
070,,Magneton,FALSE,
071,,Magnezone,FALSE,
072,,Voltorb,FALSE,
073,,Electrode,FALSE,
074,,Trubbish,FALSE,
075,,Garbodor,FALSE,
076,,Swinub,FALSE,
077,,Piloswine,FALSE,
078,,Mamoswine,FALSE,
079,,Bergmite,FALSE,
080,,Avalugg,FALSE,
081,,Cubchoo,FALSE,
082,,Beartic,FALSE,
083,,Smoochum,FALSE,
084,,Jynx,FALSE,
085,,Vanillite,FALSE,
086,,Vanillish,FALSE,
087,,Vanilluxe,FALSE,
088,,Snover,FALSE,
089,,Abomasnow,FALSE,
090,,Delibird,FALSE,
091,,Sneasel,FALSE,
092,,Weavile,FALSE,
093,,Timburr,FALSE,
094,,Gurdurr,FALSE,
095,,Conkeldurr,FALSE,
096,,Torkoal,FALSE,
097,,Sandshrew,FALSE,
098,,Sandslash,FALSE,
099,,Aron,FALSE,
100,,Lairon,FALSE,
101,,Aggron,FALSE,
102,,Larvitar,FALSE,TradeOnly
103,,Pupitar,FALSE,TradeOnly
104,,Tyranitar,FALSE,TradeOnly
105,,Heatmor,FALSE,
106,,Durant,FALSE,
107,,Spinarak,FALSE,
108,,Ariados,FALSE,
109,,Spearow,FALSE,
110,,Fearow,FALSE,
111,,Cryogonal,FALSE,
112,,Skarmory,FALSE,
113,,Noibat,FALSE,
114,,Noivern,FALSE,
115,,Gligar,FALSE,
116,,Gliscor,FALSE,
117,,Hoothoot,FALSE,
118,,Noctowl,FALSE,
119,,Igglybuff,FALSE,
120,,Jigglypuff,FALSE,
121,,Wigglytuff,FALSE,
122,,Shuppet,FALSE,
123,,Banette,FALSE,
124,,Zorua,FALSE,
125,,Zoroark,FALSE,
126,,Gothita,FALSE,
127,,Gothorita,FALSE,
128,,Gothitelle,FALSE,
129,,Bonsly,FALSE,
130,,Sudowoodo,FALSE,
131,,Spinda,FALSE,
132,,Teddiursa,FALSE,
133,,Ursaring,FALSE,
134,,Lickitung,FALSE,
135,,Lickilicky,FALSE,
136,,Scyther,FALSE,
137,,Scizor,FALSE,
138,,Ditto,FALSE,
139,,Swablu,FALSE,
140,,Altaria,FALSE,
141,,Druddigon,FALSE,
142,,Deino,FALSE,
143,,Zweilous,FALSE,
144,,Hydreigon,FALSE,
145,,Dratini,FALSE,
146,,Dragonair,FALSE,
147,,Dragonite,FALSE,
148,,Xerneas,TRUE,
149,,Yveltal,TRUE,TradeOnly
150,,Zygarde,TRUE,
151,,Mewtwo,TRUE,
