number,name,shinyLocked,notes
003,Mega Venusaur,FALSE,
006,Mega Charizard X,FALSE,X Exclusive
006,Mega Charizard Y,FALSE,
009,Mega Blastoise,FALSE,
065,Mega Alakazam,FALSE,
094,Mega Gengar,FALSE,
115,Mega Kangaskhan,FALSE,
127,Mega Pinsir,FALSE,X Exclusive
130,Mega Gyarados,FALSE,
142,Mega Aerodactyl,FALSE,
150,Mega Mewtwo X,FALSE,X Exclusive
150,Mega Mewtwo Y,FALSE,
181,Mega Ampharos,FALSE,
212,Mega Scizor,FALSE,
214,Mega Heracross,FALSE,
229,Mega Houndoom,FALSE,
248,Mega Tyranitar,FALSE,
257,Mega Blaziken,FALSE,
282,Mega Gardevoir,FALSE,
303,Mega Mawile,FALSE,
306,Mega Aggron,FALSE,X Exclusive
308,Mega Medicham,FALSE,
310,Mega Manectric,FALSE,
354,Mega Banette,FALSE,
359,Mega Absol,FALSE,
445,Mega Garchomp,FALSE,
448,Mega Lucario,FALSE,
460,Mega Abomasnow,FALSE,
