number,name,shinyLocked,notes
001,Pikipek,FALSE,
002,Trumbeak,FALSE,
003,Toucannon,FALSE,
004,Yungoos,FALSE,
005,Gumshoos,FALSE,
006,Rattata,FALSE,
007,Raticate,FALSE,
008,Caterpie,FALSE,
009,Metapod,FALSE,
010,Butterfree,FALSE,
011,Grubbin,FALSE,
012,Charjabug,FALSE,
013,Vikavolt,FALSE,
014,Bonsly,FALSE,
015,Sudowoodo,FALSE,
016,Happiny,FALSE,
017,Chansey,FALSE,
018,Blissey,FALSE,
019,Wingull,FALSE,
020,Pelipper,FALSE,
021,Crabrawler,FALSE,
022,Crabominable,FALSE,
023,Gastly,FALSE,
024,Haunter,FALSE,
025,Gengar,FALSE,
026,Zubat,FALSE,
027,Golbat,FALSE,
028,Crobat,FALSE,
029,Diglett,FALSE,
030,Dugtrio,FALSE,
031,Oricorio,FALSE,
032,Psyduck,FALSE,
033,Golduck,FALSE,
034,Magikarp,FALSE,
035,Gyarados,FALSE,
036,Barboach,FALSE,
037,Whiscash,FALSE,
038,Tentacool,FALSE,
039,Tentacruel,FALSE,
040,Finneon,FALSE,
041,Lumineon,FALSE,
042,Wishiwashi,FALSE,
043,Luvdisc,FALSE,
044,Corsola,FALSE,
045,Mareanie,FALSE,
046,Toxapex,FALSE,
047,Lillipup,FALSE,
048,Herdier,FALSE,
049,Stoutland,FALSE,
050,Eevee,FALSE,
051,Vaporeon,FALSE,
052,Jolteon,FALSE,
053,Flareon,FALSE,
054,Espeon,FALSE,
055,Umbreon,FALSE,
056,Leafeon,FALSE,
057,Glaceon,FALSE,
058,Sylveon,FALSE,
059,Mudbray,FALSE,
060,Mudsdale,FALSE,
061,Igglybuff,FALSE,
062,Jigglypuff,FALSE,
063,Wigglytuff,FALSE,
064,Tauros,FALSE,
065,Miltank,FALSE,
066,Surskit,FALSE,
067,Masquerain,FALSE,
068,Dewpider,FALSE,
069,Araquanid,FALSE,
070,Fomantis,FALSE,
071,Lurantis,FALSE,
072,Morelull,FALSE,
073,Shiinotic,FALSE,
074,Paras,FALSE,
075,Parasect,FALSE,
076,Poliwag,FALSE,
077,Poliwhirl,FALSE,
078,Poliwrath,FALSE,
079,Politoed,FALSE,
080,Goldeen,FALSE,
081,Seaking,FALSE,
082,Feebas,FALSE,
083,Milotic,FALSE,
084,Alomomola,FALSE,
085,Fletchling,FALSE,
086,Fletchinder,FALSE,
087,Talonflame,FALSE,
088,Salandit,FALSE,
089,Salazzle,FALSE,
090,Cubone,FALSE,
091,Marowak,FALSE,
092,Kangaskhan,FALSE,
093,Magby,FALSE,
094,Magmar,FALSE,
095,Magmortar,FALSE,
096,Stufful,FALSE,
097,Bewear,FALSE,
098,Bounsweet,FALSE,
099,Steenee,FALSE,
100,Tsareena,FALSE,
101,Comfey,FALSE,
102,Pinsir,FALSE,
103,Oranguru,FALSE,
104,Passimian,FALSE,SunExclusive
105,Goomy,FALSE,
106,Sliggoo,FALSE,
107,Goodra,FALSE,
108,Castform,FALSE,
109,Wimpod,FALSE,
110,Golisopod,FALSE,
111,Staryu,FALSE,
112,Starmie,FALSE,
113,Sandygast,FALSE,
114,Palossand,FALSE,
115,Cranidos,FALSE,SunExclusive
116,Rampardos,FALSE,SunExclusive
117,Shieldon,FALSE,
118,Bastiodon,FALSE,
119,Archen,FALSE,
120,Archeops,FALSE,
121,Tirtouga,FALSE,SunExclusive
122,Carracosta,FALSE,SunExclusive
123,Phantump,FALSE,
124,Trevenant,FALSE,
125,Nosepass,FALSE,
126,Probopass,FALSE,
127,Pyukumuku,FALSE,
128,Chinchou,FALSE,
129,Lanturn,FALSE,
130,Tapu Lele,TRUE,
