number,name,shinyLocked,notes
001,Rowlet,FALSE,
002,Dartrix,FALSE,
003,Decidueye,FALSE,
004,Litten,FALSE,
005,Torracat,FALSE,
006,Incineroar,FALSE,
007,Popplio,FALSE,
008,Brionne,FALSE,
009,Primarina,FALSE,
010,Pikipek,FALSE,
011,Trumbeak,FALSE,
012,Toucannon,FALSE,
013,Yungoos,FALSE,
014,Gumshoos,FALSE,
015,Rattata,FALSE,
016,Raticate,FALSE,
017,Caterpie,FALSE,
018,Metapod,FALSE,
019,Butterfree,FALSE,
020,Ledyba,FALSE,
021,Ledian,FALSE,
022,Spinarak,FALSE,
023,Ariados,FALSE,
024,Pichu,FALSE,
025,Pikachu,FALSE,
026,Raichu,FALSE,
027,Grubbin,FALSE,
028,Charjabug,FALSE,
029,Vikavolt,FALSE,
030,Bonsly,FALSE,
031,Sudowoodo,FALSE,
032,Happiny,FALSE,
033,Chansey,FALSE,
034,Blissey,FALSE,
035,Munchlax,FALSE,
036,Snorlax,FALSE,
037,Slowpoke,FALSE,
038,Slowbro,FALSE,
039,Slowking,FALSE,
040,Wingull,FALSE,
041,Pelipper,FALSE,
042,Abra,FALSE,
043,Kadabra,FALSE,
044,Alakazam,FALSE,
045,Meowth,FALSE,
046,Persian,FALSE,
047,Magnemite,FALSE,
048,Magneton,FALSE,
049,Magnezone,FALSE,
050,Grimer,FALSE,
051,Muk,FALSE,
052,Growlithe,FALSE,
053,Arcanine,FALSE,
054,Drowzee,FALSE,
055,Hypno,FALSE,
056,Makuhita,FALSE,
057,Hariyama,FALSE,
058,Smeargle,FALSE,
059,Crabrawler,FALSE,
060,Crabominable,FALSE,
061,Gastly,FALSE,
062,Haunter,FALSE,
063,Gengar,FALSE,
064,Drifloon,FALSE,
065,Drifblim,FALSE,
066,Misdreavus,FALSE,
067,Mismagius,FALSE,
068,Zubat,FALSE,
069,Golbat,FALSE,
070,Crobat,FALSE,
071,Diglett,FALSE,
072,Dugtrio,FALSE,
073,Spearow,FALSE,
074,Fearow,FALSE,
075,Rufflet,FALSE,SunExclusive
076,Braviary,FALSE,SunExclusive
077,Vullaby,FALSE,
078,Mandibuzz,FALSE,
079,Mankey,FALSE,
080,Primeape,FALSE,
081,Delibird,FALSE,
082,Oricorio,FALSE,
083,Cutiefly,FALSE,
084,Ribombee,FALSE,
085,Petilil,FALSE,
086,Lilligant,FALSE,
087,Cottonee,FALSE,SunExclusive
088,Whimsicott,FALSE,SunExclusive
089,Psyduck,FALSE,
090,Golduck,FALSE,
091,Magikarp,FALSE,
092,Gyarados,FALSE,
093,Barboach,FALSE,
094,Whiscash,FALSE,
095,Machop,FALSE,
096,Machoke,FALSE,
097,Machamp,FALSE,
098,Roggenrola,FALSE,
099,Boldore,FALSE,
100,Gigalith,FALSE,
101,Carbink,FALSE,
102,Sableye,FALSE,
103,Rockruff,FALSE,
104,Lycanroc,FALSE,
105,Spinda,FALSE,
106,Tentacool,FALSE,
107,Tentacruel,FALSE,
108,Finneon,FALSE,
109,Lumineon,FALSE,
110,Wishiwashi,FALSE,
111,Luvdisc,FALSE,
112,Corsola,FALSE,
113,Mareanie,FALSE,
114,Toxapex,FALSE,
115,Shellder,FALSE,
116,Cloyster,FALSE,
117,Bagon,FALSE,
118,Shelgon,FALSE,
119,Salamence,FALSE,
120,Tapu Koko,TRUE,
