number,name,shinyLocked,notes
001,Pikipek,FALSE,
002,Trumbeak,FALSE,
003,Toucannon,FALSE,
004,Yungoos,FALSE,
005,Gumshoos,FALSE,
006,Rattata,FALSE,
007,Raticate,FALSE,
008,Happiny,FALSE,
009,Chansey,FALSE,
010,Blissey,FALSE,
011,Wingull,FALSE,
012,Pelipper,FALSE,
013,Drowzee,FALSE,
014,Hypno,FALSE,
015,Makuhita,FALSE,
016,Hariyama,FALSE,
017,Crabrawler,FALSE,
018,Crabominable,FALSE,
019,Zubat,FALSE,
020,Golbat,FALSE,
021,Crobat,FALSE,
022,Diglett,FALSE,
023,Dugtrio,FALSE,
024,Spearow,FALSE,
025,Fearow,FALSE,
026,Rufflet,FALSE,SunExclusive
027,Braviary,FALSE,SunExclusive
028,Vullaby,FALSE,
029,Mandibuzz,FALSE,
030,Mankey,FALSE,
031,Primeape,FALSE,
032,Oricorio,FALSE,
033,Cutiefly,FALSE,
034,Ribombee,FALSE,
035,Petilil,FALSE,
036,Lilligant,FALSE,
037,Cottonee,FALSE,SunExclusive
038,Whimsicott,FALSE,SunExclusive
039,Psyduck,FALSE,
040,Golduck,FALSE,
041,Magikarp,FALSE,
042,Gyarados,FALSE,
043,Barboach,FALSE,
044,Whiscash,FALSE,
045,Machop,FALSE,
046,Machoke,FALSE,
047,Machamp,FALSE,
048,Roggenrola,FALSE,
049,Boldore,FALSE,
050,Gigalith,FALSE,
051,Carbink,FALSE,
052,Sableye,FALSE,
053,Rockruff,FALSE,
054,Lycanroc,FALSE,
055,Tentacool,FALSE,
056,Tentacruel,FALSE,
057,Finneon,FALSE,
058,Lumineon,FALSE,
059,Mudbray,FALSE,
060,Mudsdale,FALSE,
061,Tauros,FALSE,
062,Miltank,FALSE,
063,Stufful,FALSE,
064,Bewear,FALSE,
065,Pinsir,FALSE,
066,Goomy,FALSE,
067,Sliggoo,FALSE,
068,Goodra,FALSE,
069,Castform,FALSE,
070,Wimpod,FALSE,
071,Golisopod,FALSE,
072,Skarmory,FALSE,
073,Snubbull,FALSE,
074,Granbull,FALSE,
075,Shellos,FALSE,
076,Gastrodon,FALSE,
077,Relicanth,FALSE,
078,Dhelmise,FALSE,
079,Carvanha,FALSE,
080,Sharpedo,FALSE,
081,Wailmer,FALSE,
082,Wailord,FALSE,
083,Lapras,FALSE,
084,Exeggcute,FALSE,
085,Exeggutor,FALSE,
086,Jangmo-o,FALSE,
087,Hakamo-o,FALSE,
088,Kommo-o,FALSE,
089,Emolga,FALSE,
090,Scyther,FALSE,
091,Scizor,FALSE,
092,Murkrow,FALSE,
093,Honchkrow,FALSE,
094,Riolu,FALSE,
095,Lucario,FALSE,
096,Dratini,FALSE,
097,Dragonair,FALSE,
098,Dragonite,FALSE,
099,Aerodactyl,FALSE,
100,Tapu Fini,TRUE,
