number,name,shinyLocked,notes
001,Pikipek,FALSE,
002,Trumbeak,FALSE,
003,Toucannon,FALSE,
004,Yungoos,FALSE,
005,Gumshoos,FALSE,
006,Rattata,FALSE,
007,Raticate,FALSE,
008,Ledyba,FALSE,
009,Ledian,FALSE,
010,Spinarak,FALSE,
011,Ariados,FALSE,
012,Grubbin,FALSE,
013,Charjabug,FALSE,
014,Vikavolt,FALSE,
015,Happiny,FALSE,
016,Chansey,FALSE,
017,Blissey,FALSE,
018,Slowpoke,FALSE,
019,Slowbro,FALSE,
020,Slowking,FALSE,
021,Wingull,FALSE,
022,Pelipper,FALSE,
023,Meowth,FALSE,
024,Persian,FALSE,
025,Magnemite,FALSE,
026,Magneton,FALSE,
027,Magnezone,FALSE,
028,Grimer,FALSE,
029,Muk,FALSE,
030,Crabrawler,FALSE,
031,Crabominable,FALSE,
032,Gastly,FALSE,
033,Haunter,FALSE,
034,Gengar,FALSE,
035,Zubat,FALSE,
036,Golbat,FALSE,
037,Crobat,FALSE,
038,Diglett,FALSE,
039,Dugtrio,FALSE,
040,Spearow,FALSE,
041,Fearow,FALSE,
042,Oricorio,FALSE,
043,Cutiefly,FALSE,
044,Ribombee,FALSE,
045,Petilil,FALSE,
046,Lilligant,FALSE,
047,Cottonee,FALSE,SunExclusive
048,Whimsicott,FALSE,SunExclusive
049,Psyduck,FALSE,
050,Golduck,FALSE,
051,Magikarp,FALSE,
052,Gyarados,FALSE,
053,Tentacool,FALSE,
054,Tentacruel,FALSE,
055,Finneon,FALSE,
056,Lumineon,FALSE,
057,Wishiwashi,FALSE,
058,Mudbray,FALSE,
059,Mudsdale,FALSE,
060,Surskit,FALSE,
061,Masquerain,FALSE,
062,Dewpider,FALSE,
063,Araquanid,FALSE,
064,Morelull,FALSE,
065,Shiinotic,FALSE,
066,Paras,FALSE,
067,Parasect,FALSE,
068,Poliwag,FALSE,
069,Poliwhirl,FALSE,
070,Poliwrath,FALSE,
071,Politoed,FALSE,
072,Goldeen,FALSE,
073,Seaking,FALSE,
074,Goomy,FALSE,
075,Sliggoo,FALSE,
076,Goodra,FALSE,
077,Castform,FALSE,
078,Trubbish,FALSE,
079,Garbodor,FALSE,
080,Skarmory,FALSE,
081,Ditto,FALSE,
082,Cleffa,FALSE,
083,Clefairy,FALSE,
084,Clefable,FALSE,
085,Minior,FALSE,
086,Beldum,FALSE,
087,Metang,FALSE,
088,Metagross,FALSE,
089,Porygon,FALSE,
090,Porygon2,FALSE,
091,Porygon-Z,FALSE,
092,Pancham,FALSE,
093,Pangoro,FALSE,
094,Komala,FALSE,
095,Torkoal,FALSE,
096,Turtonator,FALSE,SunExclusive
097,Togedemaru,FALSE,
098,Elekid,FALSE,
099,Electabuzz,FALSE,
100,Electivire,FALSE,
101,Geodude,FALSE,
102,Graveler,FALSE,
103,Golem,FALSE,
104,Sandile,FALSE,
105,Krokorok,FALSE,
106,Krookodile,FALSE,
107,Trapinch,FALSE,
108,Vibrava,FALSE,
109,Flygon,FALSE,
110,Gible,FALSE,
111,Gabite,FALSE,
112,Garchomp,FALSE,
113,Klefki,FALSE,
114,Mimikyu,FALSE,
115,Bruxish,FALSE,
116,Drampa,FALSE,
117,Absol,FALSE,
118,Snorunt,FALSE,
119,Glalie,FALSE,
120,Froslass,FALSE,
121,Sneasel,FALSE,
122,Weavile,FALSE,
123,Sandshrew,FALSE,
124,Sandslash,FALSE,
125,Vulpix,FALSE,SunExclusive
126,Ninetales,FALSE,SunExclusive
127,Vanillite,FALSE,
128,Vanillish,FALSE,
129,Vanilluxe,FALSE,
130,Tapu Bulu,TRUE,
