number,name,shinyLocked,notes
001,Rowlet,FALSE,
002,Dartrix,FALSE,
003,Decidueye,FALSE,
004,Litten,FALSE,
005,Torracat,FALSE,
006,Incineroar,FALSE,
007,Popplio,FALSE,
008,Brionne,FALSE,
009,Primarina,FALSE,
010,Pikipek,FALSE,
011,Trumbeak,FALSE,
012,Toucannon,FALSE,
013,Yungoos,FALSE,
014,Gumshoos,FALSE,
015,Rattata,FALSE,
016,Raticate,FALSE,
017,Caterpie,FALSE,
018,Metapod,FALSE,
019,Butterfree,FALSE,
020,Ledyba,FALSE,
021,Ledian,FALSE,
022,Spinarak,FALSE,
023,Ariados,FALSE,
024,Buneary,FALSE,
025,Lopunny,FALSE,
026,Inkay,FALSE,
027,Malamar,FALSE,
028,Zorua,FALSE,
029,Zoroark,FALSE,
030,Furfrou,FALSE,
031,Pichu,FALSE,
032,Pikachu,FALSE,
033,Raichu,FALSE,
034,Grubbin,FALSE,
035,Charjabug,FALSE,
036,Vikavolt,FALSE,
037,Bonsly,FALSE,
038,Sudowoodo,FALSE,
039,Happiny,FALSE,
040,Chansey,FALSE,
041,Blissey,FALSE,
042,Munchlax,FALSE,
043,Snorlax,FALSE,
044,Slowpoke,FALSE,
045,Slowbro,FALSE,
046,Slowking,FALSE,
047,Wingull,FALSE,
048,Pelipper,FALSE,
049,Abra,FALSE,
050,Kadabra,FALSE,
051,Alakazam,FALSE,
052,Meowth,FALSE,
053,Persian,FALSE,
054,Magnemite,FALSE,
055,Magneton,FALSE,
056,Magnezone,FALSE,
057,Grimer,FALSE,
058,Muk,FALSE,
059,Mime Jr.,FALSE,
060,Mr. Mime,FALSE,
061,Ekans,FALSE,
062,Arbok,FALSE,
063,Dunsparce,FALSE,
064,Growlithe,FALSE,
065,Arcanine,FALSE,
066,Drowzee,FALSE,
067,Hypno,FALSE,
068,Makuhita,FALSE,
069,Hariyama,FALSE,
070,Smeargle,FALSE,
071,Crabrawler,FALSE,
072,Crabominable,FALSE,
073,Gastly,FALSE,
074,Haunter,FALSE,
075,Gengar,FALSE,
076,Drifloon,FALSE,
077,Drifblim,FALSE,
078,Murkrow,FALSE,
079,Honchkrow,FALSE,
080,Zubat,FALSE,
081,Golbat,FALSE,
082,Crobat,FALSE,
083,Noibat,FALSE,
084,Noivern,FALSE,
085,Diglett,FALSE,
086,Dugtrio,FALSE,
087,Spearow,FALSE,
088,Fearow,FALSE,
089,Rufflet,FALSE,UltraSunExclusive
090,Braviary,FALSE,UltraSunExclusive
091,Vullaby,FALSE,
092,Mandibuzz,FALSE,
093,Mankey,FALSE,
094,Primeape,FALSE,
095,Delibird,FALSE,
096,Hawlucha,FALSE,
097,Oricorio,FALSE,
098,Cutiefly,FALSE,
099,Ribombee,FALSE,
100,Flabébé,FALSE,
101,Floette,FALSE,
102,Florges,FALSE,
103,Petilil,FALSE,
104,Lilligant,FALSE,
105,Cottonee,FALSE,UltraSunExclusive
106,Whimsicott,FALSE,UltraSunExclusive
107,Psyduck,FALSE,
108,Golduck,FALSE,
109,Smoochum,FALSE,
110,Jynx,FALSE,
111,Magikarp,FALSE,
112,Gyarados,FALSE,
113,Barboach,FALSE,
114,Whiscash,FALSE,
115,Seel,FALSE,
116,Dewgong,FALSE,
117,Machop,FALSE,
118,Machoke,FALSE,
119,Machamp,FALSE,
120,Roggenrola,FALSE,
121,Boldore,FALSE,
122,Gigalith,FALSE,
123,Carbink,FALSE,
124,Sableye,FALSE,
125,Mawile,FALSE,
126,Rockruff,FALSE,
127,Lycanroc,FALSE,
128,Spinda,FALSE,
129,Tentacool,FALSE,
130,Tentacruel,FALSE,
131,Finneon,FALSE,
132,Lumineon,FALSE,
133,Wishiwashi,FALSE,
134,Luvdisc,FALSE,
135,Corsola,FALSE,
136,Mareanie,FALSE,
137,Toxapex,FALSE,
138,Shellder,FALSE,
139,Cloyster,FALSE,
140,Clamperl,FALSE,
141,Huntail,FALSE,
142,Gorebyss,FALSE,
143,Remoraid,FALSE,
144,Octillery,FALSE,
145,Mantyke,FALSE,
146,Mantine,FALSE,
147,Bagon,FALSE,
148,Shelgon,FALSE,
149,Salamence,FALSE,
150,Tapu Koko,TRUE,
