number,name,shinyLocked,notes
001,Pikipek,FALSE,
002,Trumbeak,FALSE,
003,Toucannon,FALSE,
004,Yungoos,FALSE,
005,Gumshoos,FALSE,
006,Rattata,FALSE,
007,Raticate,FALSE,
008,Buneary,FALSE,
009,Lopunny,FALSE,
010,Inkay,FALSE,
011,Malamar,FALSE,
012,Zorua,FALSE,
013,Zoroark,FALSE,
014,Furfrou,FALSE,
015,Happiny,FALSE,
016,Chansey,FALSE,
017,Blissey,FALSE,
018,Wingull,FALSE,
019,Pelipper,FALSE,
020,Drowzee,FALSE,
021,Hypno,FALSE,
022,Makuhita,FALSE,
023,Hariyama,FALSE,
024,Crabrawler,FALSE,
025,Crabominable,FALSE,
026,Zubat,FALSE,
027,Golbat,FALSE,
028,Crobat,FALSE,
029,Noibat,FALSE,
030,Noivern,FALSE,
031,Diglett,FALSE,
032,Dugtrio,FALSE,
033,Spearow,FALSE,
034,Fearow,FALSE,
035,Rufflet,FALSE,
036,Braviary,FALSE,
037,Vullaby,FALSE,UltraMoonExclusive
038,Mandibuzz,FALSE,UltraMoonExclusive
039,Mankey,FALSE,
040,Primeape,FALSE,
041,Oricorio,FALSE,
042,Cutiefly,FALSE,
043,Ribombee,FALSE,
044,Flabébé,FALSE,
045,Floette,FALSE,
046,Florges,FALSE,
047,Petilil,FALSE,UltraMoonExclusive
048,Lilligant,FALSE,UltraMoonExclusive
049,Cottonee,FALSE,
050,Whimsicott,FALSE,
051,Psyduck,FALSE,
052,Golduck,FALSE,
053,Magikarp,FALSE,
054,Gyarados,FALSE,
055,Barboach,FALSE,
056,Whiscash,FALSE,
057,Machop,FALSE,
058,Machoke,FALSE,
059,Machamp,FALSE,
060,Roggenrola,FALSE,
061,Boldore,FALSE,
062,Gigalith,FALSE,
063,Carbink,FALSE,
064,Sableye,FALSE,
065,Rockruff,FALSE,
066,Lycanroc,FALSE,
067,Tentacool,FALSE,
068,Tentacruel,FALSE,
069,Finneon,FALSE,
070,Lumineon,FALSE,
071,Mudbray,FALSE,
072,Mudsdale,FALSE,
073,Tauros,FALSE,
074,Miltank,FALSE,
075,Basculin,FALSE,
076,Stufful,FALSE,
077,Bewear,FALSE,
078,Pinsir,FALSE,
079,Goomy,FALSE,
080,Sliggoo,FALSE,
081,Goodra,FALSE,
082,Castform,FALSE,
083,Wimpod,FALSE,
084,Golisopod,FALSE,
085,Skarmory,FALSE,
086,Snubbull,FALSE,
087,Granbull,FALSE,
088,Shellos,FALSE,
089,Gastrodon,FALSE,
090,Relicanth,FALSE,
091,Dhelmise,FALSE,
092,Carvanha,FALSE,
093,Sharpedo,FALSE,
094,Skrelp,FALSE,UltraMoonExclusive
095,Dragalge,FALSE,UltraMoonExclusive
096,Clauncher,FALSE,
097,Clawitzer,FALSE,
098,Wailmer,FALSE,
099,Wailord,FALSE,
100,Lapras,FALSE,
101,Tropius,FALSE,
102,Exeggcute,FALSE,
103,Exeggutor,FALSE,
104,Corphish,FALSE,
105,Crawdaunt,FALSE,
106,Mienfoo,FALSE,
107,Mienshao,FALSE,
108,Jangmo-o,FALSE,
109,Hakamo-o,FALSE,
110,Kommo-o,FALSE,
111,Emolga,FALSE,
112,Scyther,FALSE,
113,Scizor,FALSE,
114,Heracross,FALSE,
115,Aipom,FALSE,
116,Ambipom,FALSE,
117,Litleo,FALSE,
118,Pyroar,FALSE,
119,Misdreavus,FALSE,
120,Mismagius,FALSE,
121,Druddigon,FALSE,
122,Lickitung,FALSE,
123,Lickilicky,FALSE,
124,Riolu,FALSE,
125,Lucario,FALSE,
126,Dratini,FALSE,
127,Dragonair,FALSE,
128,Dragonite,FALSE,
129,Aerodactyl,FALSE,
130,Tapu Fini,TRUE,
