number,name,shinyLocked,notes
001,Pikipek,FALSE,
002,Trumbeak,FALSE,
003,Toucannon,FALSE,
004,Yungoos,FALSE,
005,Gumshoos,FALSE,
006,Rattata,FALSE,
007,Raticate,FALSE,
008,Ledyba,FALSE,
009,Ledian,FALSE,
010,Spinarak,FALSE,
011,Ariados,FALSE,
012,Grubbin,FALSE,
013,Charjabug,FALSE,
014,Vikavolt,FALSE,
015,Happiny,FALSE,
016,Chansey,FALSE,
017,Blissey,FALSE,
018,Slowpoke,FALSE,
019,Slowbro,FALSE,
020,Slowking,FALSE,
021,Wingull,FALSE,
022,Pelipper,FALSE,
023,Meowth,FALSE,
024,Persian,FALSE,
025,Magnemite,FALSE,
026,Magneton,FALSE,
027,Magnezone,FALSE,
028,Grimer,FALSE,
029,Muk,FALSE,
030,Crabrawler,FALSE,
031,Crabominable,FALSE,
032,Gastly,FALSE,
033,Haunter,FALSE,
034,Gengar,FALSE,
035,Zubat,FALSE,
036,Golbat,FALSE,
037,Crobat,FALSE,
038,Diglett,FALSE,
039,Dugtrio,FALSE,
040,Spearow,FALSE,
041,Fearow,FALSE,
042,Oricorio,FALSE,
043,Cutiefly,FALSE,
044,Ribombee,FALSE,
045,Flabébé,FALSE,
046,Floette,FALSE,
047,Florges,FALSE,
048,Petilil,FALSE,UltraMoonExclusive
049,Lilligant,FALSE,UltraMoonExclusive
050,Cottonee,FALSE,
051,Whimsicott,FALSE,
052,Psyduck,FALSE,
053,Golduck,FALSE,
054,Magikarp,FALSE,
055,Gyarados,FALSE,
056,Tentacool,FALSE,
057,Tentacruel,FALSE,
058,Finneon,FALSE,
059,Lumineon,FALSE,
060,Wishiwashi,FALSE,
061,Clamperl,FALSE,
062,Huntail,FALSE,
063,Gorebyss,FALSE,
064,Mudbray,FALSE,
065,Mudsdale,FALSE,
066,Surskit,FALSE,
067,Masquerain,FALSE,
068,Dewpider,FALSE,
069,Araquanid,FALSE,
070,Morelull,FALSE,
071,Shiinotic,FALSE,
072,Paras,FALSE,
073,Parasect,FALSE,
074,Poliwag,FALSE,
075,Poliwhirl,FALSE,
076,Poliwrath,FALSE,
077,Politoed,FALSE,
078,Goldeen,FALSE,
079,Seaking,FALSE,
080,Basculin,FALSE,
081,Goomy,FALSE,
082,Sliggoo,FALSE,
083,Goodra,FALSE,
084,Castform,FALSE,
085,Trubbish,FALSE,
086,Garbodor,FALSE,
087,Minccino,FALSE,
088,Cinccino,FALSE,
089,Pineco,FALSE,
090,Forretress,FALSE,
091,Skarmory,FALSE,
092,Ditto,FALSE,
093,Cleffa,FALSE,
094,Clefairy,FALSE,
095,Clefable,FALSE,
096,Elgyem,FALSE,
097,Beheeyem,FALSE,
098,Minior,FALSE,
099,Beldum,FALSE,
100,Metang,FALSE,
101,Metagross,FALSE,
102,Porygon,FALSE,
103,Porygon2,FALSE,
104,Porygon-Z,FALSE,
105,Pancham,FALSE,
106,Pangoro,FALSE,
107,Komala,FALSE,
108,Torkoal,FALSE,
109,Turtonator,FALSE,
110,Houndour,FALSE,
111,Houndoom,FALSE,
112,Dedenne,FALSE,
113,Togedemaru,FALSE,
114,Electrike,FALSE,UltraMoonExclusive
115,Manectric,FALSE,UltraMoonExclusive
116,Elekid,FALSE,
117,Electabuzz,FALSE,
118,Electivire,FALSE,
119,Geodude,FALSE,
120,Graveler,FALSE,
121,Golem,FALSE,
122,Sandile,FALSE,
123,Krokorok,FALSE,
124,Krookodile,FALSE,
125,Trapinch,FALSE,
126,Vibrava,FALSE,
127,Flygon,FALSE,
128,Gible,FALSE,
129,Gabite,FALSE,
130,Garchomp,FALSE,
131,Baltoy,FALSE,UltraMoonExclusive
132,Claydol,FALSE,UltraMoonExclusive
133,Golett,FALSE,
134,Golurk,FALSE,
135,Klefki,FALSE,
136,Mimikyu,FALSE,
137,Shuppet,FALSE,
138,Banette,FALSE,
139,Frillish,FALSE,
140,Jellicent,FALSE,
141,Bruxish,FALSE,
142,Drampa,FALSE,UltraMoonExclusive
143,Absol,FALSE,
144,Snorunt,FALSE,
145,Glalie,FALSE,
146,Froslass,FALSE,
147,Sneasel,FALSE,
148,Weavile,FALSE,
149,Sandshrew,FALSE,UltraMoonExclusive
150,Sandslash,FALSE,UltraMoonExclusive
151,Vulpix,FALSE,
152,Ninetales,FALSE,
153,Vanillite,FALSE,
154,Vanillish,FALSE,
155,Vanilluxe,FALSE,
156,Scraggy,FALSE,
157,Scrafty,FALSE,
158,Pawniard,FALSE,
159,Bisharp,FALSE,
160,Tapu Bulu,TRUE,
