number,name,shinyLocked,notes
000,Suicune,FALSE,
000,Lugia,FALSE,UltraMoonExclusive
000,Latias,FALSE,UltraMoonExclusive
000,Latios,FALSE,
000,Kyogre,FALSE,UltraMoonExclusive
000,Uxie,FALSE,
000,Mesprit,FALSE,
000,Azelf,FALSE,
000,Kyurem,FALSE,
000,Mewtwo,FALSE,
000,Raikou,FALSE,
000,Entei,FALSE,UltraMoonExclusive
000,Dialga,FALSE,
000,Cobalion,FALSE,
000,Terrakion,FALSE,
000,Virizion,FALSE,
000,Reshiram,FALSE,
000,Zekrom,FALSE,UltraMoonExclusive
000,Xerneas,FALSE,
000,Articuno,FALSE,
000,Zapdos,FALSE,
000,Moltres,FALSE,
000,Ho-oh,FALSE,
000,Rayquaza,FALSE,
000,Cresselia,FALSE,
000,Tornadus,FALSE,
000,Thundurus,FALSE,UltraMoonExclusive
000,Landorus,FALSE,
000,Yveltal,FALSE,UltraMoonExclusive
000,Regirock,FALSE,
000,Regice,FALSE,
000,Registeel,FALSE,
000,Groudon,FALSE,
000,Palkia,FALSE,UltraMoonExclusive
000,Heatran,FALSE,
000,Regigigas,FALSE,UltraMoonExclusive
000,Giratina,FALSE,
000,Nihilego,FALSE,
000,Buzzwole,FALSE,
000,Pheromosa,FALSE,UltraMoonExclusive
000,Xurkitree,FALSE,
000,Celesteela,FALSE,UltraMoonExclusive
000,Kartana,FALSE,
000,Guzzlord,FALSE,
