number,ref,name,shinyLocked,exclusive
1,,Spinarak,FALSE,
2,,Ariados,FALSE,
3,,Yanma,FALSE,
4,,Yanmega,FALSE,
5,,Wooper,FALSE,
6,,Quagsire,FALSE,
7,,Poochyena,FALSE,
8,,Mightyena,FALSE,
9,,Volbeat,FALSE,
10,,Illumise,FALSE,
11,,Corphish,FALSE,
12,,Crawdaunt,FALSE,
13,,Sewaddle,FALSE,
14,,Swadloon,FALSE,
15,,Leavanny,FALSE,
16,,Cutiefly,FALSE,
17,,Ribombee,FALSE,
18,,Ekans,FALSE,
19,,Arbok,FALSE,
20,,Pichu,FALSE,
21,,Pikachu,FALSE,
22,,Raichu,FALSE,
23,,Bellsprout,FALSE,
24,,Weepinbell,FALSE,
25,,Victreebel,FALSE,
26,,Sentret,FALSE,
27,,Furret,FALSE,
28,,Starly,FALSE,
29,,Staravia,FALSE,
30,,Staraptor,FALSE,
31,,Fomantis,FALSE,
32,,Lurantis,FALSE,
33,,Applin,FALSE,
34,,Flapple,FALSE,
35,,Appletun,FALSE,
36,,Dipplin,FALSE,
37,,Vulpix,FALSE,
38,,Ninetales,FALSE,
39,,Poliwag,FALSE,
40,,Poliwhirl,FALSE,
41,,Poliwrath,FALSE,
42,,Politoed,FALSE,
43,,Magikarp,FALSE,
44,,Gyarados,FALSE,
45,,Hoothoot,FALSE,
46,,Noctowl,FALSE,
47,,Aipom,FALSE,VIOLET
48,,Ambipom,FALSE,VIOLET
49,,Heracross,FALSE,
50,,Swinub,FALSE,
51,,Piloswine,FALSE,
52,,Mamoswine,FALSE,
53,,Stantler,FALSE,
54,,Seedot,FALSE,
55,,Nuzleaf,FALSE,
56,,Shiftry,FALSE,
57,,Ralts,FALSE,
58,,Kirlia,FALSE,
59,,Gardevoir,FALSE,
60,,Gallade,FALSE,
61,,Kricketot,FALSE,
62,,Kricketune,FALSE,
63,,Pachirisu,FALSE,
64,,Riolu,FALSE,
65,,Lucario,FALSE,
66,,Petilil,FALSE,
67,,Lilligant,FALSE,
68,,Phantump,FALSE,
69,,Trevenant,FALSE,
70,,Rockruff,FALSE,
71,,Lycanroc,FALSE,
72,,Skwovet,FALSE,
73,,Greedent,FALSE,
74,,Toedscool,FALSE,
75,,Toedscruel,FALSE,
76,,Poltchageist,FALSE,
77,,Sinistcha,FALSE,
78,,Growlithe,FALSE,
79,,Arcanine,FALSE,
80,,Geodude,FALSE,
81,,Graveler,FALSE,
82,,Golem,FALSE,
83,,Bonsly,FALSE,
84,,Sudowoodo,FALSE,
85,,Timburr,FALSE,
86,,Gurdurr,FALSE,
87,,Conkeldurr,FALSE,
88,,Noibat,FALSE,
89,,Noivern,FALSE,
90,,Arrokuda,FALSE,
91,,Barraskewda,FALSE,
92,,Hatenna,FALSE,
93,,Hattrem,FALSE,
94,,Hatterene,FALSE,
95,,Morpeko,FALSE,VIOLET
96,,Orthworm,FALSE,
97,,Tandemaus,FALSE,
98,,Maushold,FALSE,
99,,Mankey,FALSE,
100,,Primeape,FALSE,
101,,Annihilape,FALSE,
102,,Munchlax,FALSE,
103,,Snorlax,FALSE,
104,,Lotad,FALSE,
105,,Lombre,FALSE,
106,,Ludicolo,FALSE,
107,,Nosepass,FALSE,
108,,Probopass,FALSE,
109,,Shinx,FALSE,
110,,Luxio,FALSE,
111,,Luxray,FALSE,
112,,Grubbin,FALSE,
113,,Charjabug,FALSE,
114,,Vikavolt,FALSE,
115,,Oricorio,FALSE,
116,,Sandshrew,FALSE,
117,,Sandslash,FALSE,
118,,Gastly,FALSE,
119,,Haunter,FALSE,
120,,Gengar,FALSE,
121,,Gligar,FALSE,SCARLET
122,,Gliscor,FALSE,SCARLET
123,,Houndour,FALSE,
124,,Houndoom,FALSE,
125,,Spoink,FALSE,
126,,Grumpig,FALSE,
127,,Vullaby,FALSE,
128,,Mandibuzz,FALSE,
129,,Mudbray,FALSE,
130,,Mudsdale,FALSE,
131,,Jangmo-o,FALSE,
132,,Hakamo-o,FALSE,
133,,Kommo-o,FALSE,
134,,Bombirdier,FALSE,
135,,Koffing,FALSE,
136,,Weezing,FALSE,
137,,Mienfoo,FALSE,
138,,Mienshao,FALSE,
139,,Duskull,FALSE,
140,,Dusclops,FALSE,
141,,Dusknoir,FALSE,
142,,Chingling,FALSE,
143,,Chimecho,FALSE,
144,,Slugma,FALSE,
145,,Magcargo,FALSE,
146,,Litwick,FALSE,
147,,Lampent,FALSE,
148,,Chandelure,FALSE,
149,,Surskit,FALSE,
150,,Masquerain,FALSE,
151,,Cleffa,FALSE,
152,,Clefairy,FALSE,
153,,Clefable,FALSE,
154,,Bronzor,FALSE,
155,,Bronzong,FALSE,
156,,Glimmet,FALSE,
157,,Glimmora,FALSE,
158,,Feebas,FALSE,
159,,Milotic,FALSE,
160,,Dunsparce,FALSE,
161,,Dudunsparce,FALSE,
162,,Barboach,FALSE,
163,,Whiscash,FALSE,
164,,Gible,FALSE,
165,,Gabite,FALSE,
166,,Garchomp,FALSE,
167,,Carbink,FALSE,
168,,Salandit,FALSE,
169,,Salazzle,FALSE,
170,,Sneasel,FALSE,
171,,Weavile,FALSE,
172,,Snorunt,FALSE,
173,,Glalie,FALSE,
174,,Froslass,FALSE,
175,,Tynamo,FALSE,
176,,Eelektrik,FALSE,
177,,Eelektross,FALSE,
178,,Goomy,FALSE,
179,,Sliggoo,FALSE,
180,,Goodra,FALSE,
181,,Ducklett,FALSE,
182,,Swanna,FALSE,
183,,Chewtle,FALSE,
184,,Drednaw,FALSE,
185,,Cramorant,FALSE,SCARLET
186,,Pawniard,FALSE,
187,,Bisharp,FALSE,
188,,Kingambit,FALSE,
189,,Mimikyu,FALSE,
190,,Impidimp,FALSE,
191,,Morgrem,FALSE,
192,,Grimmsnarl,FALSE,
193,,Indeedee,FALSE,
194,,Basculin,FALSE,
195,,Basculegion,FALSE,
196,901.1,Ursaluna,TRUE,
197,,Okidogi,TRUE,
198,,Munkidori,TRUE,
199,,Fezandipiti,TRUE,
200,,Ogerpon,TRUE,
