number,ref,name,shinyLocked,exclusive
001,,Rowlet,FALSE,
002,,Dartrix,FALSE,
003,724.1,Decidueye,FALSE,
004,,Cyndaquil,FALSE,
005,,Quilava,FALSE,
006,157.1,Typhlosion,FALSE,
007,,Oshawott,FALSE,
008,,Dewott,FALSE,
009,503.1,Samurott,FALSE,
010,,Bidoof,FALSE,
011,,Bibarel,FALSE,
012,,Starly,FALSE,
013,,Staravia,FALSE,
014,,Staraptor,FALSE,
015,,Shinx,FALSE,
016,,Luxio,FALSE,
017,,Luxray,FALSE,
018,,Wurmple,FALSE,
019,,Silcoon,FALSE,
020,,Beautifly,FALSE,
021,,Cascoon,FALSE,
022,,Dustox,FALSE,
023,,Ponyta,FALSE,
024,,Rapidash,FALSE,
025,,Eevee,FALSE,
026,,Vaporeon,FALSE,
027,,Jolteon,FALSE,
028,,Flareon,FALSE,
029,,Espeon,FALSE,
030,,Umbreon,FALSE,
031,,Leafeon,FALSE,
032,,Glaceon,FALSE,
033,,Sylveon,FALSE,
034,,Zubat,FALSE,
035,,Golbat,FALSE,
036,,Crobat,FALSE,
037,,Drifloon,FALSE,
038,,Drifblim,FALSE,
039,,Kricketot,FALSE,
040,,Kricketune,FALSE,
041,,Buizel,FALSE,
042,,Floatzel,FALSE,
043,,Burmy,FALSE,
044,,Wormadam,FALSE,
045,,Mothim,FALSE,
046,,Geodude,FALSE,
047,,Graveler,FALSE,
048,,Golem,FALSE,
049,,Stantler,FALSE,
050,,Wyrdeer,FALSE,
051,,Munchlax,FALSE,
052,,Snorlax,FALSE,
053,,Paras,FALSE,
054,,Parasect,FALSE,
055,,Pichu,FALSE,
056,,Pikachu,FALSE,
057,,Raichu,FALSE,
058,,Abra,FALSE,
059,,Kadabra,FALSE,
060,,Alakazam,FALSE,
061,,Chimchar,FALSE,
062,,Monferno,FALSE,
063,,Infernape,FALSE,
064,,Buneary,FALSE,
065,,Lopunny,FALSE,
066,,Cherubi,FALSE,
067,,Cherrim,FALSE,
068,,Psyduck,FALSE,
069,,Golduck,FALSE,
070,,Combee,FALSE,
071,,Vespiquen,FALSE,
072,,Scyther,FALSE,
073,,Kleavor,FALSE,
074,,Scizor,FALSE,
075,,Heracross,FALSE,
076,,Mime Jr.,FALSE,
077,,Mr. Mime,FALSE,
078,,Aipom,FALSE,
079,,Ambipom,FALSE,
080,,Magikarp,FALSE,
081,,Gyarados,FALSE,
082,,Shellos,FALSE,
083,,Gastrodon,FALSE,
084,,Qwilfish,FALSE,
085,,Overqwil,FALSE,
086,,Happiny,FALSE,
087,,Chansey,FALSE,
088,,Blissey,FALSE,
089,,Budew,FALSE,
090,,Roselia,FALSE,
091,,Roserade,FALSE,
092,,Carnivine,FALSE,
093,,Petilil,FALSE,
094,,Lilligant,FALSE,
095,,Tangela,FALSE,
096,,Tangrowth,FALSE,
097,,Barboach,FALSE,
098,,Whiscash,FALSE,
099,,Croagunk,FALSE,
100,,Toxicroak,FALSE,
101,,Ralts,FALSE,
102,,Kirlia,FALSE,
103,,Gardevoir,FALSE,
104,,Gallade,FALSE,
105,,Yanma,FALSE,
106,,Yanmega,FALSE,
107,,Hippopotas,FALSE,
108,,Hippowdon,FALSE,
109,,Pachirisu,FALSE,
110,,Stunky,FALSE,
111,,Skuntank,FALSE,
112,,Teddiursa,FALSE,
113,,Ursaring,FALSE,
114,901.0,Ursaluna,FALSE,
115,,Goomy,FALSE,
116,705.1,Sliggoo,FALSE,
117,706.1,Goodra,FALSE,
118,,Onix,FALSE,
119,,Steelix,FALSE,
120,,Rhyhorn,FALSE,
121,,Rhydon,FALSE,
122,,Rhyperior,FALSE,
123,,Bonsly,FALSE,
124,,Sudowoodo,FALSE,
125,,Lickitung,FALSE,
126,,Lickilicky,FALSE,
127,,Togepi,FALSE,
128,,Togetic,FALSE,
129,,Togekiss,FALSE,
130,,Turtwig,FALSE,
131,,Grotle,FALSE,
132,,Torterra,FALSE,
133,,Porygon,FALSE,
134,,Porygon2,FALSE,
135,,Porygon-Z,FALSE,
136,,Gastly,FALSE,
137,,Haunter,FALSE,
138,,Gengar,FALSE,
139,,Spiritomb,FALSE,
140,,Murkrow,FALSE,
141,,Honchkrow,FALSE,
142,,Unown,FALSE,
143,,Spheal,FALSE,
144,,Sealeo,FALSE,
145,,Walrein,FALSE,
146,,Remoraid,FALSE,
147,,Octillery,FALSE,
148,,Skorupi,FALSE,
