number,ref,name,shinyLocked,exclusive
1,,Doduo,FALSE,
2,,Dodrio,FALSE,
3,,Exeggcute,FALSE,
4,,Exeggutor,FALSE,
5,,Rhyhorn,FALSE,
6,,Rhydon,FALSE,
7,,Rhyperior,FALSE,
8,,Venonat,FALSE,
9,,Venomoth,FALSE,
10,,Elekid,FALSE,
11,,Electabuzz,FALSE,
12,,Electivire,FALSE,
13,,Magby,FALSE,
14,,Magmar,FALSE,
15,,Magmortar,FALSE,
16,,Happiny,FALSE,
17,,Chansey,FALSE,
18,,Blissey,FALSE,
19,,Scyther,FALSE,
20,,Scizor,FALSE,
21,,Kleavor,FALSE,
22,128.0,Tauros,FALSE,
23,,Blitzle,FALSE,
24,,Zebstrika,FALSE,
25,,Girafarig,FALSE,
26,,Farigiraf,FALSE,
27,,Sandile,FALSE,
28,,Krokorok,FALSE,
29,,Krookodile,FALSE,
30,,Rellor,FALSE,
31,,Rabsca,FALSE,
32,,Rufflet,FALSE,
33,,Braviary,FALSE,
34,,Vullaby,FALSE,
35,,Mandibuzz,FALSE,
36,,Litleo,FALSE,
37,,Pyroar,FALSE,
38,,Deerling,FALSE,
39,,Sawsbuck,FALSE,
40,,Smeargle,FALSE,
41,,Rotom,FALSE,
42,,Milcery,FALSE,
43,,Alcremie,FALSE,
44,,Trapinch,FALSE,
45,,Vibrava,FALSE,
46,,Flygon,FALSE,
47,,Pikipek,FALSE,
48,,Trumbeak,FALSE,
49,,Toucannon,FALSE,
50,,Tentacool,FALSE,
51,,Tentacruel,FALSE,
52,,Horsea,FALSE,
53,,Seadra,FALSE,
54,,Kingdra,FALSE,
55,,Bruxish,FALSE,
56,,Cottonee,FALSE,
57,,Whimsicott,FALSE,
58,,Comfey,FALSE,
59,,Slakoth,FALSE,
60,,Vigoroth,FALSE,
61,,Slaking,FALSE,
62,,Oddish,FALSE,
63,,Gloom,FALSE,
64,,Vileplume,FALSE,
65,,Bellossom,FALSE,
66,050.1,Diglett,FALSE,
67,051.1,Dugtrio,FALSE,
68,088.1,Grimer,FALSE,
69,089.1,Muk,FALSE,
70,,Zangoose,FALSE,
71,,Seviper,FALSE,
72,,Crabrawler,FALSE,
73,,Crabominable,FALSE,
74,,Oricorio,FALSE,
75,079.1,Slowpoke,FALSE,
76,080.2,Slowbro,FALSE,
77,199.1,Slowking,FALSE,
78,,Chinchou,FALSE,
79,,Lanturn,FALSE,
80,,Inkay,FALSE,
81,,Malamar,FALSE,
82,,Luvdisc,FALSE,
83,,Finneon,FALSE,
84,,Lumineon,FALSE,
85,,Alomomola,FALSE,
86,,Torkoal,FALSE,
87,,Fletchling,FALSE,
88,,Fletchinder,FALSE,
89,,Talonflame,FALSE,
90,,Dewpider,FALSE,
91,,Araquanid,FALSE,
92,,Tyrogue,FALSE,
93,,Hitmonlee,FALSE,
94,,Hitmonchan,FALSE,
95,,Hitmontop,FALSE,
96,074.1,Geodude,FALSE,
97,075.1,Graveler,FALSE,
98,076.1,Golem,FALSE,
99,,Drilbur,FALSE,
100,,Excadrill,FALSE,
101,,Gothita,FALSE,
102,,Gothorita,FALSE,
103,,Gothitelle,FALSE,
104,,Espurr,FALSE,
105,,Meowstic,FALSE,
106,,Minior,FALSE,
107,,Cranidos,FALSE,SCARLET
108,,Rampardos,FALSE,SCARLET
109,,Shieldon,FALSE,VIOLET
110,,Bastiodon,FALSE,VIOLET
111,,Minccino,FALSE,
112,,Cinccino,FALSE,
113,,Skarmory,FALSE,
