number,ref,name,shinyLocked,exclusive
1,,Snom,FALSE,
2,,Frosmoth,FALSE,
3,,Wooloo,FALSE,
4,,Dubwool,FALSE,
5,,Skwovet,FALSE,
6,,Greedent,FALSE,
7,,Swinub,FALSE,
8,,Piloswine,FALSE,
9,,Mamoswine,FALSE,
10,,Mime Jr.,FALSE,
11,122.1,Mr. Mime,FALSE,
12,,Mr. Rime,FALSE,
13,,Smoochum,FALSE,
14,,Jynx,FALSE,
15,,Elekid,FALSE,
16,,Electabuzz,FALSE,
17,,Electivire,FALSE,
18,,Magby,FALSE,
19,,Magmar,FALSE,
20,,Magmortar,FALSE,
21,,Audino,FALSE,
22,,Vanillite,FALSE,
23,,Vanillish,FALSE,
24,,Vanilluxe,FALSE,
25,,Snorunt,FALSE,
26,,Glalie,FALSE,
27,,Froslass,FALSE,
28,,Sneasel,FALSE,
29,,Weavile,FALSE,
30,,Cryogonal,FALSE,
31,,Snover,FALSE,
32,,Abomasnow,FALSE,
33,,Phantump,FALSE,
34,,Trevenant,FALSE,
35,,Swablu,FALSE,
36,,Altaria,FALSE,
37,,Impidimp,FALSE,
38,,Morgrem,FALSE,
39,,Grimmsnarl,FALSE,
40,,Hatenna,FALSE,
41,,Hattrem,FALSE,
42,,Hatterene,FALSE,
43,,Cleffa,FALSE,
44,,Clefairy,FALSE,
45,,Clefable,FALSE,
46,,Mimikyu,FALSE,
47,,Spiritomb,FALSE,
48,,Litwick,FALSE,
49,,Lampent,FALSE,
50,,Chandelure,FALSE,
51,,Gothita,FALSE,
52,,Gothorita,FALSE,
53,,Gothitelle,FALSE,
54,,Solosis,FALSE,
55,,Duosion,FALSE,
56,,Reuniclus,FALSE,
57,,Timburr,FALSE,
58,,Gurdurr,FALSE,
59,,Conkeldurr,FALSE,
60,,Barboach,FALSE,
61,,Whiscash,FALSE,
62,,Magikarp,FALSE,
63,,Gyarados,FALSE,
64,,Basculin,FALSE,
65,,Nidoran ♀,FALSE,
66,,Nidorina,FALSE,
67,,Nidoqueen,FALSE,
68,,Nidoran ♂,FALSE,
69,,Nidorino,FALSE,
70,,Nidoking,FALSE,
71,,Zigzagoon,FALSE,
72,,Linoone,FALSE,
73,,Obstagoon,FALSE,
74,,Eevee,FALSE,
75,,Vaporeon,FALSE,
76,,Jolteon,FALSE,
77,,Flareon,FALSE,
78,,Umbreon,FALSE,
79,,Espeon,FALSE,
80,,Glaceon,FALSE,
81,,Leafeon,FALSE,
82,,Sylveon,FALSE,
83,,Tyrunt,FALSE,
84,,Tyrantrum,FALSE,
85,,Amaura,FALSE,
86,,Aurorus,FALSE,
87,,Bronzor,FALSE,
88,,Bronzong,FALSE,
89,,Stonjourner,FALSE,
90,,Eiscue,FALSE,
91,,Dewpider,FALSE,
92,,Araquanid,FALSE,
93,,Joltik,FALSE,
94,,Galvantula,FALSE,
95,,Karrablast,FALSE,
96,,Escavalier,FALSE,
97,,Shelmet,FALSE,
98,,Accelgor,FALSE,
99,,Sizzlipede,FALSE,
100,,Centiskorch,FALSE,
101,,Durant,FALSE,
102,,Heatmor,FALSE,
103,554.1,Darumaka,FALSE,SWORD
104,555.2|555.3,Darmanitan,FALSE,SWORD
105,077.1,Ponyta,FALSE,SHIELD
106,078.1,Rapidash,FALSE,SHIELD
107,,Absol,FALSE,
108,,Cufant,FALSE,
109,,Copperajah,FALSE,
110,,Dreepy,FALSE,
111,,Drakloak,FALSE,
112,,Dragapult,FALSE,
113,,Bagon,FALSE,SWORD
114,,Shelgon,FALSE,SWORD
115,,Salamence,FALSE,SWORD
116,,Gible,FALSE,SHIELD
117,,Gabite,FALSE,SHIELD
118,,Garchomp,FALSE,SHIELD
119,,Druddigon,FALSE,
120,,Delibird,FALSE,
121,,Cubchoo,FALSE,
122,,Beartic,FALSE,
123,,Omanyte,FALSE,SWORD
124,,Omastar,FALSE,SWORD
125,,Kabuto,FALSE,SHIELD
126,,Kabutops,FALSE,SHIELD
127,,Aerodactyl,FALSE,
128,,Carbink,FALSE,
129,,Beldum,FALSE,
130,,Metang,FALSE,
131,,Metagross,FALSE,
132,,Sinistea,FALSE,
133,,Polteageist,FALSE,
134,,Riolu,FALSE,
135,,Lucario,FALSE,
136,,Deino,FALSE,
137,,Zweilous,FALSE,
