number,ref,name,shinyLocked,exclusive
006,006.3,Charizard,FALSE,
012,012.1,Butterfree,FALSE,
025,025.1,Pikachu,FALSE,
052,052.3,Meowth,FALSE,
068,068.1,Machamp,FALSE,
094,094.2,Gengar,FALSE,
099,099.1,Kingler,FALSE,
131,131.1,Lapras,FALSE,
133,133.1,Eevee,FALSE,
143,143.1,Snorlax,FALSE,
569,569.1,Garbodor,FALSE,
809,809.1,Melmetal,FALSE,
823,823.1,Corviknight,FALSE,
826,826.1,Orbeetle,FALSE,
834,834.1,Drednaw,FALSE,
839,839.1,Coalossal,FALSE,
841,841.1,Flapple,FALSE,
842,842.1,Appletun,FALSE,
844,844.1,Sandaconda,FALSE,
849,849.2,Toxtricity,FALSE,
851,851.1,Centiskorch,FALSE,
858,858.1,Hatterene,FALSE,
861,861.1,Grimmsnarl,FALSE,
869,869.63,Alcremie,FALSE,
879,879.1,Copperajah,FALSE,
884,884.1,Duraludon,FALSE,
003,003.2,Venusaur,FALSE,
009,009.2,Blastoise,FALSE,
812,812.1,Rillaboom,FALSE,
815,815.1,Cinderace,FALSE,
818,818.1,Inteleon,FALSE,
892,892.1,Urshifu,TRUE,
892,892.3,Urshifu,TRUE,
