number,ref,name,shinyLocked,exclusive
1,079.1,Slowpoke,FALSE,
2,080.1,Slowbro,FALSE,
3,199.1,Slowking,FALSE,
4,,Buneary,FALSE,
5,,Lopunny,FALSE,
6,,Happiny,FALSE,
7,,Chansey,FALSE,
8,,Blissey,FALSE,
9,,Skwovet,FALSE,
10,,Greedent,FALSE,
11,,Igglybuff,FALSE,
12,,Jigglypuff,FALSE,
13,,Wigglytuff,FALSE,
14,,Blipbug,FALSE,
15,,Dottler,FALSE,
16,,Orbeetle,FALSE,
17,,Fomantis,FALSE,
18,,Lurantis,FALSE,
19,,Applin,FALSE,
20,,Flapple,FALSE,
21,,Appletun,FALSE,
22,,Fletchling,FALSE,
23,,Fletchinder,FALSE,
24,,Talonflame,FALSE,
25,,Shinx,FALSE,
26,,Luxio,FALSE,
27,,Luxray,FALSE,
28,,Klefki,FALSE,
29,,Pawniard,FALSE,
30,,Bisharp,FALSE,
31,,Abra,FALSE,
32,,Kadabra,FALSE,
33,,Alakazam,FALSE,
34,,Ralts,FALSE,
35,,Kirlia,FALSE,
36,,Gardevoir,FALSE,
37,,Gallade,FALSE,
38,,Krabby,FALSE,
39,,Kingler,FALSE,
40,,Tentacool,FALSE,
41,,Tentacruel,FALSE,
42,,Magikarp,FALSE,
43,,Gyarados,FALSE,
44,,Remoraid,FALSE,
45,,Octillery,FALSE,
46,,Mantyke,FALSE,
47,,Mantine,FALSE,
48,,Wingull,FALSE,
49,,Pelipper,FALSE,
50,,Skorupi,FALSE,
51,,Drapion,FALSE,
52,,Dunsparce,FALSE,
53,,Bouffalant,FALSE,
54,,Lickitung,FALSE,
55,,Lickilicky,FALSE,
56,,Chewtle,FALSE,
57,,Drednaw,FALSE,
58,,Wooper,FALSE,
59,,Quagsire,FALSE,
60,,Goomy,FALSE,
61,,Sliggoo,FALSE,
62,,Goodra,FALSE,
63,,Druddigon,FALSE,
64,,Shelmet,FALSE,
65,,Accelgor,FALSE,
66,,Karrablast,FALSE,
67,,Escavalier,FALSE,
68,,Bulbasaur,FALSE,
69,,Ivysaur,FALSE,
70,,Venusaur,FALSE,
71,,Squirtle,FALSE,
72,,Wartortle,FALSE,
73,,Blastoise,FALSE,
74,,Venipede,FALSE,
75,,Whirlipede,FALSE,
76,,Scolipede,FALSE,
77,,Foongus,FALSE,
78,,Amoonguss,FALSE,
79,,Comfey,FALSE,
80,,Tangela,FALSE,
81,,Tangrowth,FALSE,
82,,Croagunk,FALSE,
83,,Toxicroak,FALSE,
84,,Pichu,FALSE,
85,,Pikachu,FALSE,
86,,Raichu,FALSE,
87,,Zorua,FALSE,
88,,Zoroark,FALSE,
89,,Oranguru,FALSE,
90,,Passimian,FALSE,
91,,Corphish,FALSE,
92,,Crawdaunt,FALSE,
93,,Cramorant,FALSE,
94,,Goldeen,FALSE,
95,,Seaking,FALSE,
96,,Arrokuda,FALSE,
97,,Barraskewda,FALSE,
98,,Staryu,FALSE,
99,,Starmie,FALSE,
100,,Kubfu,FALSE,
101,,Urshifu,FALSE,
102,,Emolga,FALSE,
103,,Dedenne,FALSE,
104,,Morpeko,FALSE,
105,,Magnemite,FALSE,
106,,Magneton,FALSE,
107,,Magnezone,FALSE,
108,,Inkay,FALSE,
109,,Malamar,FALSE,
110,,Wishiwashi,FALSE,
111,,Carvanha,FALSE,
112,,Sharpedo,FALSE,
113,,Lillipup,FALSE,
114,,Herdier,FALSE,
115,,Stoutland,FALSE,
116,,Tauros,FALSE,
117,,Miltank,FALSE,
118,,Scyther,FALSE,
119,,Scizor,FALSE,
120,,Pinsir,FALSE,SWORD
121,,Heracross,FALSE,SHIELD
122,,Dwebble,FALSE,
123,,Crustle,FALSE,
124,,Wimpod,FALSE,
125,,Golisopod,FALSE,
126,,Pincurchin,FALSE,
127,,Mareanie,FALSE,
128,,Toxapex,FALSE,
129,,Clobbopus,FALSE,
130,,Grapploct,FALSE,
131,,Shellder,FALSE,
132,,Cloyster,FALSE,
133,,Sandygast,FALSE,
134,,Palossand,FALSE,
135,,Drifloon,FALSE,
136,,Drifblim,FALSE,
137,,Barboach,FALSE,
138,,Whiscash,FALSE,
139,,Azurill,FALSE,
140,,Marill,FALSE,
141,,Azumarill,FALSE,
142,,Poliwag,FALSE,
143,,Poliwhirl,FALSE,
144,,Poliwrath,FALSE,
145,,Politoed,FALSE,
146,,Psyduck,FALSE,
147,,Golduck,FALSE,
148,,Whismur,FALSE,
149,,Loudred,FALSE,
150,,Exploud,FALSE,
151,,Woobat,FALSE,
152,,Swoobat,FALSE,
153,,Skarmory,FALSE,
154,,Roggenrola,FALSE,
155,,Boldore,FALSE,
156,,Gigalith,FALSE,
157,,Rockruff,FALSE,
158,,Lycanroc,FALSE,
159,,Salandit,FALSE,
160,,Salazzle,FALSE,
161,,Scraggy,FALSE,
162,,Scrafty,FALSE,
163,,Mienfoo,FALSE,
164,,Mienshao,FALSE,
165,,Jangmo-o,FALSE,
166,,Hakamo-o,FALSE,
167,,Kommo-o,FALSE,
168,,Sandshrew,FALSE,
169,,Sandslash,FALSE,
170,,Cubone,FALSE,
171,,Marowak,FALSE,
172,,Kangaskhan,FALSE,
173,,Torkoal,FALSE,
174,,Silicobra,FALSE,
175,,Sandaconda,FALSE,
176,,Sandile,FALSE,
177,,Krokorok,FALSE,
178,,Krookodile,FALSE,
179,,Rufflet,FALSE,
180,,Braviary,FALSE,
181,,Vullaby,FALSE,
182,,Mandibuzz,FALSE,
183,,Rhyhorn,FALSE,
